Time(s),Input,Output_Displacement
3.7,-0.304,5.102
3.8,-0.443,5.002
3.9,-0.572,4.903
4,-0.688,4.805
4.1,-0.789,4.712
4.2,-0.872,4.624
4.3,-0.935,4.545
4.4,-0.978,4.475
4.5,-0.998,4.417
4.6,-0.996,4.372
4.7,-0.972,4.341
4.8,-0.926,4.325
4.9,-0.859,4.324
5,-0.773,4.338
5.1,-0.669,4.367
5.2,-0.551,4.411
5.3,-0.420,4.468
5.4,-0.279,4.536
5.5,-0.133,4.616
5.6,0.017,4.703
5.7,0.166,4.798
5.8,0.312,4.897
5.9,0.450,4.998
5.99999999999999,0.578,5.099
6.09999999999999,0.694,5.199
6.19999999999999,0.794,5.293
6.29999999999999,0.876,5.381
6.39999999999999,0.938,5.461
6.49999999999999,0.979,5.530
6.59999999999999,0.999,5.587
6.69999999999999,0.995,5.631
6.79999999999999,0.970,5.661
6.89999999999999,0.923,5.676
6.99999999999999,0.855,5.676
7.09999999999999,0.767,5.661
7.19999999999999,0.663,5.630
7.29999999999999,0.544,5.586
7.39999999999999,0.412,5.529
7.49999999999999,0.271,5.459
7.59999999999999,0.124,5.380
7.69999999999999,-0.025,5.291
7.79999999999999,-0.174,5.197
7.89999999999999,-0.320,5.098
7.99999999999999,-0.458,4.996
8.09999999999999,-0.585,4.895
8.19999999999999,-0.700,4.796
8.29999999999999,-0.799,4.702
8.39999999999999,-0.880,4.614
8.49999999999999,-0.941,4.535
8.59999999999999,-0.981,4.467
8.69999999999999,-0.999,4.410
8.79999999999998,-0.995,4.367
8.89999999999998,-0.968,4.338
8.99999999999998,-0.919,4.323
9.09999999999998,-0.850,4.324
9.19999999999998,-0.762,4.341
9.29999999999998,-0.657,4.372
9.39999999999998,-0.537,4.417
9.49999999999998,-0.404,4.475
9.59999999999998,-0.263,4.545
9.69999999999998,-0.116,4.625
9.79999999999998,0.034,4.714
9.89999999999998,0.183,4.809
9.99999999999998,0.327,4.908
10.1,0.465,5.009
10.2,0.592,5.111
10.3,0.706,5.209
10.4,0.804,5.303
10.5,0.884,5.391
10.6,0.944,5.469
10.7,0.983,5.537
10.8,0.999,5.593
10.9,0.994,5.635
11,0.966,5.664
11.1,0.916,5.677
11.2,0.846,5.675
11.3,0.757,5.658
11.4,0.650,5.626
11.5,0.529,5.580
11.6,0.397,5.521
11.7,0.255,5.451
11.8,0.108,5.370
11.9,-0.042,5.281
12,-0.191,5.186
12.1,-0.335,5.086
12.2,-0.472,4.985
12.3,-0.599,4.884
12.4,-0.712,4.785
12.5,-0.809,4.692
12.6,-0.888,4.605
12.7,-0.946,4.527
12.8,-0.984,4.460
12.9,-1.000,4.405
13,-0.993,4.363
13.1,-0.963,4.335
13.2,-0.913,4.323
13.3,-0.841,4.326
13.4,-0.751,4.343
13.5,-0.644,4.376
13.6,-0.522,4.423
13.7,-0.389,4.482
13.8,-0.247,4.553
13.9,-0.099,4.635
14,0.050,4.724
14.1,0.199,4.820
14.2,0.343,4.919
14.3,0.480,5.021
14.4,0.606,5.122
14.5,0.718,5.220
14.6,0.814,5.314
14.7,0.891,5.400
14.8,0.949,5.477
14.9,0.986,5.544
15,1.000,5.598
15.1,0.992,5.639
15.2,0.961,5.666
15.3,0.909,5.677
15.4,0.837,5.674
15.5,0.745,5.655
15.6,0.637,5.622
15.7,0.515,5.574
15.8,0.381,5.514
15.9,0.239,5.442
16,0.091,5.361
16.1,-0.059,5.271
16.2,-0.207,5.175
16.3,-0.351,5.075
16.4,-0.487,4.973
16.5,-0.612,4.872
16.6,-0.723,4.774
16.7,-0.819,4.681
16.8,-0.895,4.596
16.9,-0.952,4.519
17,-0.987,4.453
17.1,-1.000,4.399
17.2,-0.990,4.359
17.3,-0.959,4.333
17.4,-0.906,4.322
17.5,-0.832,4.327
17.6,-0.740,4.346
17.7,-0.631,4.381
17.8,-0.508,4.429
17.9,-0.373,4.490
18,-0.231,4.562
18.1,-0.083,4.644
18.2,0.067,4.735
18.3,0.216,4.831
18.4,0.359,4.931
18.5,0.494,5.032
18.6,0.619,5.133
18.7,0.729,5.231
18.8,0.823,5.324
18.9,0.899,5.409
19,0.954,5.485
19.1,0.988,5.551
19.2,1.000,5.603
19.3,0.989,5.643
19.4,0.956,5.668
19.5,0.902,5.678
19.6,0.827,5.672
19.7,0.734,5.652
19.8,0.624,5.617
19.9,0.501,5.568
20,0.366,5.507
20.1,0.222,5.434
20.2,0.074,5.351
20.3,-0.076,5.260
20.4,-0.224,5.164
20.5,-0.367,5.064
20.6,-0.502,4.962
20.7,-0.625,4.861
20.8,-0.735,4.764
20.9,-0.828,4.671
21,-0.903,4.586
21.1,-0.957,4.511
21.2,-0.989,4.446
21.3,-1.000,4.394
21.4,-0.988,4.355
21.5,-0.954,4.331
21.6,-0.898,4.322
21.7,-0.823,4.328
21.8,-0.728,4.349
21.9,-0.618,4.385
22,-0.493,4.435
22.1,-0.358,4.497
22.2,-0.214,4.571
22.3,-0.066,4.654
22.4,0.084,4.745
22.5,0.232,4.842
22.6000000000001,0.375,4.942
22.7000000000001,0.509,5.044
22.8000000000001,0.632,5.144
22.9000000000001,0.741,5.242
23.0000000000001,0.833,5.334
23.1000000000001,0.906,5.418
23.2000000000001,0.959,5.493
23.3000000000001,0.991,5.557
23.4000000000001,1.000,5.609
23.5000000000001,0.987,5.646
23.6000000000001,0.951,5.670
23.7000000000001,0.895,5.678
23.8000000000001,0.818,5.671
23.9000000000001,0.723,5.649
24.0000000000001,0.611,5.612
24.1000000000001,0.486,5.562
24.2000000000001,0.350,5.499
24.3000000000001,0.206,5.425
24.4000000000001,0.057,5.341
24.5000000000001,-0.092,5.250
24.6000000000001,-0.240,5.153
24.7000000000001,-0.382,5.052
24.8000000000001,-0.516,4.951
24.9000000000001,-0.638,4.850
25.0000000000001,-0.746,4.753
25.1000000000001,-0.837,4.661
25.2000000000001,-0.910,4.577
25.3000000000001,-0.962,4.503
25.4000000000001,-0.992,4.440
25.5000000000001,-1.000,4.389
25.6000000000001,-0.985,4.352
25.7000000000001,-0.949,4.329
25.8000000000001,-0.891,4.322
25.9000000000001,-0.813,4.330
26.0000000000001,-0.717,4.353
26.1000000000001,-0.604,4.390
26.2000000000001,-0.479,4.441
26.3000000000001,-0.342,4.505
26.4000000000001,-0.198,4.580
26.5000000000001,-0.049,4.664
26.6000000000001,0.101,4.756
26.7000000000001,0.248,4.853
26.8000000000001,0.390,4.953
26.9000000000001,0.523,5.055
27.0000000000001,0.645,5.155
27.1000000000001,0.752,5.252
27.2000000000001,0.842,5.343
27.3000000000001,0.913,5.427
27.4000000000001,0.964,5.501
27.5000000000001,0.993,5.564
27.6000000000001,1.000,5.614
27.7000000000001,0.984,5.650
