Time(s),Input,Output_Displacement
2.5,-0.851,4.629
2.6,-0.575,4.414
2.7,-0.207,4.280
2.8,0.196,4.253
2.9,0.566,4.341
3,0.845,4.534
3.1,0.987,4.804
3.2,0.970,5.109
3.3,0.795,5.399
3.4,0.492,5.629
3.5,0.110,5.759
3.6,-0.291,5.767
3.7,-0.644,5.653
3.8,-0.894,5.433
3.9,-0.998,5.142
4,-0.941,4.828
4.1,-0.732,4.541
4.2,-0.404,4.327
4.3,-0.011,4.222
4.4,0.384,4.243
4.5,0.716,4.386
4.6,0.933,4.628
4.7,0.999,4.931
4.8,0.904,5.245
4.9,0.662,5.519
5,0.313,5.710
5.1,-0.087,5.786
5.2,-0.472,5.735
5.3,-0.781,5.565
5.4,-0.964,5.303
5.5,-0.991,4.993
5.6,-0.857,4.683
5.7,-0.585,4.425
5.8,-0.218,4.260
5.9,0.184,4.214
5.99999999999999,0.557,4.296
6.09999999999999,0.839,4.492
6.19999999999999,0.986,4.769
6.29999999999999,0.973,5.084
6.39999999999999,0.802,5.386
6.49999999999999,0.502,5.625
6.59999999999999,0.121,5.763
6.69999999999999,-0.280,5.777
6.79999999999999,-0.636,5.666
6.89999999999999,-0.888,5.447
6.99999999999999,-0.997,5.156
7.09999999999999,-0.945,4.839
7.19999999999999,-0.740,4.549
7.29999999999999,-0.415,4.331
7.39999999999999,-0.023,4.222
7.49999999999999,0.373,4.239
7.59999999999999,0.708,4.378
7.69999999999999,0.929,4.619
7.79999999999999,1.000,4.921
7.89999999999999,0.908,5.236
7.99999999999999,0.670,5.513
8.09999999999999,0.323,5.706
8.19999999999999,-0.076,5.786
8.29999999999999,-0.462,5.738
8.39999999999999,-0.774,5.571
8.49999999999999,-0.961,5.312
8.59999999999999,-0.992,5.002
8.69999999999999,-0.863,4.692
8.79999999999998,-0.594,4.431
8.89999999999998,-0.229,4.263
8.99999999999998,0.173,4.214
9.09999999999998,0.547,4.292
9.19999999999998,0.833,4.485
9.29999999999998,0.984,4.761
9.39999999999998,0.975,5.076
9.49999999999998,0.809,5.378
9.59999999999998,0.512,5.619
9.69999999999998,0.132,5.761
9.79999999999998,-0.269,5.779
9.89999999999998,-0.627,5.671
9.99999999999998,-0.883,5.454
10.1,-0.997,5.164
10.2,-0.949,4.848
10.3,-0.747,4.556
10.4,-0.425,4.336
10.5,-0.034,4.223
10.6,0.362,4.236
10.7,0.700,4.373
10.8,0.925,4.611
10.9,1.000,4.912
11,0.913,5.227
11.1,0.678,5.506
11.2,0.334,5.702
11.3,-0.064,5.785
11.4,-0.452,5.741
11.5,-0.767,5.577
11.6,-0.958,5.320
11.7,-0.994,5.011
11.8,-0.869,4.700
11.9,-0.603,4.437
12,-0.240,4.266
12.1,0.162,4.214
12.2,0.538,4.288
12.3,0.826,4.478
12.4,0.981,4.752
12.5,0.978,5.067
12.6,0.816,5.370
12.7,0.522,5.614
12.8,0.143,5.758
12.9,-0.258,5.780
13,-0.618,5.675
13.1,-0.878,5.462
13.2,-0.996,5.173
13.3,-0.952,4.857
13.4,-0.755,4.563
13.5,-0.435,4.341
13.6,-0.045,4.225
13.7,0.352,4.234
13.8,0.692,4.368
13.9,0.921,4.603
14,1.000,4.903
14.1,0.918,5.219
14.2,0.687,5.499
14.3,0.345,5.698
14.4,-0.053,5.785
14.5,-0.442,5.744
14.6,-0.760,5.583
14.7,-0.954,5.328
14.8,-0.995,5.020
14.9,-0.874,4.708
15,-0.612,4.444
15.1,-0.251,4.269
15.2,0.151,4.213
15.3,0.528,4.284
15.4,0.820,4.471
15.5,0.979,4.744
15.6,0.980,5.058
15.7,0.822,5.362
15.8,0.531,5.608
15.9,0.155,5.756
16,-0.247,5.781
16.1,-0.609,5.680
16.2,-0.872,5.469
16.3,-0.994,5.182
16.4,-0.956,4.865
16.5,-0.762,4.571
16.6,-0.446,4.346
16.7,-0.057,4.226
16.8,0.341,4.232
16.9,0.684,4.362
17,0.916,4.596
17.1,1.000,4.894
17.2,0.922,5.210
17.3,0.695,5.492
17.4,0.355,5.694
