Time(s),Input,Output_Displacement
4.3,-0.917,4.992
4.4,-0.464,5.076
4.5,0.851,5.018
4.6,0.584,4.926
4.7,-0.768,4.971
4.8,-0.693,5.070
4.9,0.670,5.039
5,0.788,4.936
5.1,-0.559,4.952
5.2,-0.867,5.058
5.3,0.436,5.056
5.4,0.928,4.950
5.5,-0.305,4.937
5.6,-0.972,5.041
5.7,0.167,5.069
5.8,0.995,4.969
5.9,-0.027,4.927
5.99999999999999,-0.999,5.021
6.09999999999999,-0.115,5.076
6.19999999999999,0.983,4.990
6.29999999999999,0.254,4.922
6.39999999999999,-0.947,4.999
6.49999999999999,-0.388,5.078
6.59999999999999,0.892,5.012
6.69999999999999,0.514,4.924
6.79999999999999,-0.819,4.977
6.89999999999999,-0.630,5.073
6.99999999999999,0.730,5.033
7.09999999999999,0.733,4.932
7.19999999999999,-0.626,4.957
7.29999999999999,-0.822,5.062
7.39999999999999,0.510,5.051
7.49999999999999,0.894,4.945
7.59999999999999,-0.384,4.941
7.69999999999999,-0.948,5.046
7.79999999999999,0.250,5.066
7.89999999999999,0.984,4.963
7.99999999999999,-0.110,4.929
8.09999999999999,-0.999,5.027
8.19999999999999,-0.031,5.075
8.29999999999999,0.995,4.984
8.39999999999999,0.172,4.923
8.49999999999999,-0.971,5.006
8.59999999999999,-0.309,5.078
8.69999999999999,0.927,5.006
8.79999999999998,0.440,4.923
8.89999999999998,-0.865,4.984
8.99999999999998,-0.562,5.075
9.09999999999998,0.785,5.027
9.19999999999998,0.673,4.929
9.29999999999998,-0.690,4.963
9.39999999999998,-0.771,5.066
9.49999999999998,0.581,5.046
9.59999999999998,0.853,4.941
9.69999999999998,-0.460,4.945
9.79999999999998,-0.918,5.051
9.89999999999998,0.330,5.062
9.99999999999998,0.965,4.957
10.1,-0.193,4.932
10.2,-0.992,5.033
10.3,0.053,5.073
10.4,1.000,4.977
10.5,0.088,4.924
10.6,-0.987,5.012
10.7,-0.228,5.078
10.8,0.955,4.999
10.9,0.363,4.922
11,-0.904,4.990
11.1,-0.491,5.076
11.2,0.834,5.021
11.3,0.609,4.927
11.4,-0.748,4.969
11.5,-0.715,5.069
11.6,0.647,5.041
11.7,0.806,4.937
11.8,-0.533,4.950
11.9,-0.882,5.056
12,0.408,5.058
12.1,0.940,4.952
12.2,-0.275,4.935
12.3,-0.978,5.039
12.4,0.137,5.070
12.5,0.998,4.971
12.6,0.004,4.926
12.7,-0.997,5.018
12.8,-0.145,5.077
12.9,0.977,4.992
13,0.284,4.922
13.1,-0.936,4.997
13.2,-0.416,5.077
13.3,0.878,5.014
13.4,0.540,4.925
13.5,-0.801,4.975
13.6,-0.654,5.072
13.7,0.709,5.035
13.8,0.754,4.933
13.9,-0.602,4.955
14,-0.839,5.061
14.1,0.483,5.053
14.2,0.907,4.947
14.3,-0.355,4.939
14.4,-0.958,5.044
14.5,0.219,5.067
14.6,0.989,4.965
14.7,-0.080,4.928
14.8,-1.000,5.025
14.9,-0.062,5.075
15,0.991,4.986
15.1,0.202,4.923
15.2,-0.963,5.003
15.3,-0.338,5.078
15.4,0.915,5.008
15.5,0.468,4.923
15.6,-0.849,4.981
15.7,-0.588,5.074
15.8,0.765,5.029
15.9,0.696,4.930
16,-0.667,4.961
16.1,-0.790,5.064
16.2,0.555,5.048
16.3,0.869,4.942
16.4,-0.432,4.944
16.5,-0.930,5.050
16.6,0.301,5.063
16.7,0.973,4.959
16.8,-0.163,4.931
16.9,-0.996,5.031
17,0.022,5.074
17.1,0.999,4.980
17.2,0.119,4.924
17.3,-0.982,5.010
17.4,-0.258,5.078
17.5,0.945,5.001
17.6,0.392,4.922
17.7,-0.890,4.988
17.8,-0.518,5.076
17.9,0.817,5.023
18,0.633,4.927
18.1,-0.727,4.967
18.2,-0.736,5.068
18.3,0.623,5.043
18.4,0.824,4.938
18.5,-0.506,4.948
18.6,-0.896,5.054
18.7,0.380,5.059
18.8,0.950,4.954
18.9,-0.245,4.934
19,-0.984,5.037
19.1,0.106,5.071
19.2,0.999,4.973
19.3,0.035,4.925
19.4,-0.994,5.016
19.5,-0.176,5.077
19.6,0.969,4.995
19.7,0.313,4.922
19.8,-0.925,4.994
19.9,-0.444,5.077
20,0.862,5.017
20.1,0.566,4.925
20.2,-0.782,4.973
20.3,-0.677,5.071
20.4,0.686,5.037
20.5,0.774,4.934
20.6,-0.577,4.953
20.7,-0.856,5.059
20.8,0.456,5.055
20.9,0.920,4.949
21,-0.326,4.938
21.1,-0.966,5.042
21.2,0.189,5.068
21.3,0.993,4.967
21.4,-0.049,4.927
21.5,-1.000,5.022
21.6,-0.093,5.076
21.7,0.987,4.988
21.8,0.232,4.922
21.9,-0.954,5.001
22,-0.367,5.078
22.1,0.902,5.010
22.2,0.495,4.924
22.3,-0.832,4.979
22.4,-0.613,5.073
22.5,0.745,5.031
22.6000000000001,0.718,4.931
22.7000000000001,-0.644,4.959
22.8000000000001,-0.809,5.063
22.9000000000001,0.529,5.050
23.0000000000001,0.884,4.944
23.1000000000001,-0.404,4.942
23.2000000000001,-0.941,5.048
23.3000000000001,0.271,5.065
23.4000000000001,0.979,4.961
23.5000000000001,-0.132,4.930
23.6000000000001,-0.998,5.029
23.7000000000001,-0.009,5.074
23.8000000000001,0.997,4.982
23.9000000000001,0.150,4.923
24.0000000000001,-0.976,5.007
24.1000000000001,-0.288,5.078
24.2000000000001,0.935,5.004
24.3000000000001,0.420,4.923
24.4000000000001,-0.875,4.985
24.5000000000001,-0.544,5.075
24.6000000000001,0.799,5.025
24.7000000000001,0.657,4.928
24.8000000000001,-0.706,4.964
24.9000000000001,-0.757,5.067
25.0000000000001,0.598,5.045
25.1000000000001,0.841,4.940
25.2000000000001,-0.479,4.947
25.3000000000001,-0.909,5.053
25.4000000000001,0.351,5.061
25.5000000000001,0.959,4.956
25.6000000000001,-0.215,4.933
25.7000000000001,-0.989,5.035
25.8000000000001,0.075,5.072
25.9000000000001,1.000,4.976
26.0000000000001,0.066,4.924
26.1000000000001,-0.991,5.014
26.2000000000001,-0.206,5.077
26.3000000000001,0.961,4.997
26.4000000000001,0.342,4.922
26.5000000000001,-0.913,4.992
26.6000000000001,-0.472,5.077
26.7000000000001,0.846,5.019
26.8000000000001,0.591,4.926
26.9000000000001,-0.763,4.970
27.0000000000001,-0.699,5.070
27.1000000000001,0.664,5.039
27.2000000000001,0.793,4.936
27.3000000000001,-0.551,4.951
27.4000000000001,-0.871,5.057
27.5000000000001,0.428,5.057
27.6000000000001,0.932,4.951
27.7000000000001,-0.296,4.936
27.8000000000001,-0.974,5.040
27.9000000000001,0.159,5.069
28.0000000000001,0.996,4.969
28.1000000000001,-0.018,4.926
28.2000000000001,-0.999,5.020
28.3000000000001,-0.124,5.076
28.4000000000001,0.981,4.991
28.5000000000001,0.262,4.922
28.6000000000001,-0.944,4.998
28.7000000000001,-0.396,5.078
28.8000000000001,0.888,5.013
28.9000000000001,0.522,4.924
29.0000000000001,-0.814,4.977
29.1000000000001,-0.637,5.072
29.2000000000001,0.724,5.034
29.3000000000001,0.739,4.932
29.4000000000001,-0.620,4.957
29.5000000000001,-0.827,5.062
29.6000000000002,0.503,5.052
29.7000000000002,0.898,4.946
29.8000000000002,-0.376,4.940
29.9000000000002,-0.951,5.046
30.0000000000002,0.241,5.066
30.1000000000002,0.985,4.964
30.2000000000002,-0.102,4.929
30.3000000000002,-1.000,5.026
30.4000000000002,-0.040,5.075
30.5000000000002,0.994,4.984
30.6000000000002,0.180,4.923
30.7000000000002,-0.968,5.005
30.8000000000002,-0.317,5.078
30.9000000000002,0.923,5.006
31.0000000000002,0.448,4.923
31.1000000000002,-0.860,4.983
31.2000000000002,-0.570,5.075
31.3000000000002,0.779,5.028
31.4000000000002,0.680,4.929
31.5000000000002,-0.683,4.962
31.6000000000002,-0.777,5.065
31.7000000000002,0.573,5.047
31.8000000000002,0.858,4.941
31.9000000000002,-0.452,4.945
32.0000000000002,-0.922,5.051
32.1000000000002,0.322,5.062
32.2000000000002,0.967,4.958
32.3000000000002,-0.185,4.932
32.4000000000002,-0.993,5.032
32.5000000000002,0.044,5.073
32.6000000000002,1.000,4.978
32.7000000000002,0.097,4.924
32.8000000000002,-0.986,5.011
32.9000000000002,-0.237,5.078
33.0000000000002,0.952,5.000
33.1000000000002,0.371,4.922
33.2000000000002,-0.900,4.989
33.3000000000002,-0.499,5.076
33.4000000000002,0.829,5.021
33.5000000000002,0.616,4.927
33.6000000000002,-0.742,4.968
33.7000000000002,-0.721,5.069
33.8000000000002,0.640,5.042
33.9000000000002,0.812,4.937
34.0000000000002,-0.525,4.950
34.1000000000002,-0.886,5.056
34.2000000000002,0.400,5.058
34.3000000000002,0.943,4.953
34.4000000000002,-0.267,4.935
34.5000000000002,-0.980,5.038
34.6000000000002,0.128,5.070
34.7000000000002,0.998,4.972
34.8000000000002,0.013,4.926
34.9000000000002,-0.996,5.018
35.0000000000002,-0.154,5.077
35.1000000000002,0.975,4.993
35.2000000000002,0.292,4.922
35.3000000000002,-0.933,4.996
35.4000000000002,-0.424,5.077
35.5000000000002,0.873,5.015
35.6000000000002,0.548,4.925
35.7000000000002,-0.796,4.974
35.8000000000002,-0.660,5.072
35.9000000000002,0.702,5.036
36.0000000000002,0.760,4.934
36.1000000000002,-0.595,4.955
36.2000000000002,-0.844,5.060
36.3000000000002,0.476,5.054
36.4000000000002,0.911,4.948
36.5000000000002,-0.347,4.939
36.6000000000003,-0.960,5.044
36.7000000000003,0.211,5.067
36.8000000000003,0.990,4.966
36.9000000000003,-0.071,4.928
37.0000000000003,-1.000,5.024
37.1000000000003,-0.071,5.076
37.2000000000003,0.990,4.987
37.3000000000003,0.211,4.923
37.4000000000003,-0.960,5.002
37.5000000000003,-0.347,5.078
37.6000000000003,0.911,5.009
37.7000000000003,0.475,4.923
37.8000000000003,-0.844,4.981
37.9000000000003,-0.595,5.074
38.0000000000003,0.760,5.030
38.1000000000003,0.702,4.930
38.2000000000003,-0.660,4.960
38.3000000000003,-0.796,5.064
38.4000000000003,0.548,5.049
38.5000000000003,0.873,4.943
38.6000000000003,-0.424,4.943
38.7000000000003,-0.933,5.049
38.8000000000003,0.292,5.064
38.9000000000003,0.975,4.960
39.0000000000003,-0.154,4.931
39.1000000000003,-0.996,5.030
39.2000000000003,0.013,5.074
39.3000000000003,0.998,4.980
39.4000000000003,0.128,4.923
39.5000000000003,-0.980,5.009
39.6000000000003,-0.267,5.078
39.7000000000003,0.943,5.002
39.8000000000003,0.400,4.922
39.9000000000003,-0.886,4.987
40.0000000000003,-0.525,5.076
40.1000000000003,0.812,5.024
40.2000000000003,0.640,4.928
40.3000000000003,-0.721,4.966
40.4000000000003,-0.742,5.068
40.5000000000003,0.616,5.044
40.6000000000003,0.829,4.939
40.7000000000003,-0.499,4.948
40.8000000000003,-0.900,5.054
40.9000000000003,0.371,5.060
41.0000000000003,0.952,4.954
41.1000000000003,-0.237,4.934
41.2000000000003,-0.986,5.036
41.3000000000003,0.097,5.071
41.4000000000003,1.000,4.974
41.5000000000003,0.044,4.925
41.6000000000003,-0.993,5.015
41.7000000000003,-0.185,5.077
41.8000000000003,0.967,4.996
41.9000000000003,0.322,4.922
42.0000000000003,-0.922,4.993
42.1000000000003,-0.452,5.077
42.2000000000003,0.858,5.017
42.3000000000003,0.573,4.925
42.4000000000003,-0.777,4.972
42.5000000000003,-0.683,5.071
42.6000000000003,0.680,5.038
42.7000000000003,0.779,4.935
42.8000000000003,-0.570,4.953
42.9000000000003,-0.860,5.059
43.0000000000003,0.448,5.055
43.1000000000003,0.923,4.949
43.2000000000003,-0.317,4.937
43.3000000000003,-0.968,5.042
43.4000000000003,0.180,5.069
43.5000000000003,0.994,4.968
43.6000000000003,-0.040,4.927
43.7000000000004,-1.000,5.022
43.8000000000004,-0.102,5.076
43.9000000000004,0.985,4.989
44.0000000000004,0.241,4.922
44.1000000000004,-0.951,5.000
44.2000000000004,-0.375,5.078
44.3000000000004,0.898,5.011
44.4000000000004,0.503,4.924
44.5000000000004,-0.827,4.978
44.6000000000004,-0.619,5.073
44.7000000000004,0.739,5.032
44.8000000000004,0.724,4.931
44.9000000000004,-0.637,4.958
45.0000000000004,-0.814,5.063
45.1000000000004,0.522,5.051
45.2000000000004,0.888,4.945
45.3000000000004,-0.396,4.942
45.4000000000004,-0.944,5.047
45.5000000000004,0.262,5.065
45.6000000000004,0.981,4.962
45.7000000000004,-0.124,4.929
45.8000000000004,-0.999,5.028
45.9000000000004,-0.018,5.074
46.0000000000004,0.996,4.983
46.1000000000004,0.159,4.923
46.2000000000004,-0.974,5.007
46.3000000000004,-0.296,5.078
46.4000000000004,0.932,5.004
46.5000000000004,0.428,4.923
46.6000000000004,-0.871,4.985
46.7000000000004,-0.551,5.075
46.8000000000004,0.793,5.026
46.9000000000004,0.664,4.929
47.0000000000004,-0.699,4.964
47.1000000000004,-0.763,5.066
47.2000000000004,0.591,5.046
47.3000000000004,0.846,4.940
47.4000000000004,-0.472,4.946
47.5000000000004,-0.913,5.052
47.6000000000004,0.343,5.061
47.7000000000004,0.961,4.956
47.8000000000004,-0.207,4.932
47.9000000000004,-0.991,5.034
