Time(s),Input,Output_Displacement
3.4,-0.174,5.308
3.5,-0.700,5.498
3.6,-0.981,5.518
3.7,-0.919,5.365
3.8,-0.537,5.093
3.9,0.034,4.797
4,0.592,4.578
4.1,0.944,4.510
4.2,0.966,4.615
4.3,0.650,4.854
4.4,0.108,5.143
4.5,-0.472,5.380
4.6,-0.888,5.483
4.7,-0.993,5.415
4.8,-0.751,5.202
4.9,-0.247,4.917
5,0.343,4.661
5.1,0.814,4.524
5.2,1.000,4.553
5.3,0.837,4.739
5.4,0.381,5.016
5.5,-0.207,5.288
5.6,-0.723,5.460
5.7,-0.987,5.471
5.8,-0.906,5.317
5.9,-0.508,5.053
5.99999999999999,0.067,4.770
6.09999999999999,0.619,4.567
6.19999999999999,0.954,4.516
6.29999999999999,0.956,4.633
6.39999999999999,0.624,4.879
6.49999999999999,0.074,5.167
6.59999999999999,-0.502,5.397
6.69999999999999,-0.903,5.488
6.79999999999999,-0.988,5.408
6.89999999999999,-0.728,5.186
6.99999999999999,-0.214,4.899
7.09999999999999,0.375,4.648
7.19999999999999,0.833,4.519
7.29999999999999,1.000,4.558
7.39999999999999,0.818,4.752
7.49999999999999,0.350,5.032
7.59999999999999,-0.240,5.301
7.69999999999999,-0.746,5.465
7.79999999999999,-0.992,5.467
7.89999999999999,-0.891,5.305
7.99999999999999,-0.479,5.037
8.09999999999999,0.101,4.756
8.19999999999999,0.645,4.560
8.29999999999999,0.964,4.518
8.39999999999999,0.946,4.644
8.49999999999999,0.598,4.895
8.59999999999999,0.041,5.182
8.69999999999999,-0.531,5.406
8.79999999999998,-0.917,5.488
8.89999999999998,-0.982,5.399
8.99999999999998,-0.705,5.171
9.09999999999998,-0.181,4.883
9.19999999999998,0.406,4.636
9.29999999999998,0.851,4.516
9.39999999999998,0.999,4.565
9.49999999999998,0.798,4.766
9.59999999999998,0.318,5.049
9.69999999999998,-0.273,5.314
9.79999999999998,-0.768,5.470
9.89999999999998,-0.996,5.462
9.99999999999998,-0.875,5.292
10.1,-0.449,5.020
10.2,0.134,4.742
10.3,0.670,4.553
10.4,0.972,4.521
10.5,0.935,4.656
10.6,0.570,4.911
10.7,0.007,5.197
10.8,-0.559,5.415
10.9,-0.929,5.487
11,-0.975,5.389
11.1,-0.681,5.156
11.2,-0.148,4.868
11.3,0.436,4.626
11.4,0.868,4.515
11.5,0.997,4.573
11.6,0.777,4.781
11.7,0.286,5.065
11.8,-0.305,5.326
11.9,-0.789,5.474
12,-0.998,5.456
12.1,-0.858,5.279
12.2,-0.419,5.004
12.3,0.167,4.728
12.4,0.695,4.547
12.5,0.980,4.524
12.6,0.922,4.668
12.7,0.543,4.927
12.8,-0.027,5.212
12.9,-0.586,5.423
13,-0.941,5.486
13.1,-0.967,5.379
13.2,-0.656,5.140
13.3,-0.115,4.852
13.4,0.466,4.615
13.5,0.884,4.513
13.6,0.993,4.581
13.7,0.756,4.795
13.8,0.254,5.081
13.9,-0.337,5.338
14,-0.810,5.478
14.1,-1.000,5.450
14.2,-0.841,5.265
14.3,-0.388,4.988
14.4,0.200,4.715
14.5,0.719,4.541
14.6,0.986,4.528
14.7,0.909,4.680
14.8,0.514,4.943
14.9,-0.060,5.227
15,-0.613,5.431
15.1,-0.952,5.485
15.2,-0.958,5.369
15.3,-0.630,5.124
15.4,-0.081,4.836
15.5,0.496,4.606
15.6,0.899,4.513
15.7,0.989,4.590
15.8,0.733,4.810
15.9,0.221,5.097
16,-0.368,5.350
16.1,-0.829,5.481
16.2,-1.000,5.443
16.3,-0.822,5.251
16.4,-0.357,4.971
16.5,0.233,4.701
16.6,0.742,4.536
16.7,0.991,4.532
16.8,0.894,4.692
16.9,0.485,4.960
17,-0.094,5.241
17.1,-0.639,5.438
17.2,-0.962,5.482
17.3,-0.948,5.358
17.4,-0.603,5.108
17.5,-0.048,4.821
