Time(s),Input,Output_Displacement
4.2,-0.979,4.686
4.3,-0.850,4.452
4.4,-0.618,4.285
4.5,-0.311,4.205
4.6,0.034,4.221
4.7,0.374,4.332
4.8,0.670,4.524
4.9,0.884,4.774
5,0.991,5.051
5.1,0.977,5.322
5.2,0.846,5.554
5.3,0.612,5.719
5.4,0.303,5.796
5.5,-0.042,5.777
5.6,-0.382,5.664
5.7,-0.676,5.470
5.8,-0.888,5.219
5.9,-0.992,4.942
5.99999999999999,-0.976,4.671
6.09999999999999,-0.841,4.441
6.19999999999999,-0.605,4.278
6.29999999999999,-0.295,4.203
6.39999999999999,0.050,4.225
6.49999999999999,0.390,4.340
6.59999999999999,0.682,4.536
6.69999999999999,0.891,4.787
6.79999999999999,0.993,5.065
6.89999999999999,0.974,5.335
6.99999999999999,0.837,5.564
7.09999999999999,0.598,5.725
7.19999999999999,0.287,5.798
7.29999999999999,-0.059,5.774
7.39999999999999,-0.398,5.656
7.49999999999999,-0.688,5.459
7.59999999999999,-0.895,5.206
7.69999999999999,-0.994,4.928
7.79999999999999,-0.972,4.659
7.89999999999999,-0.832,4.431
7.99999999999999,-0.591,4.272
8.09999999999999,-0.279,4.202
8.19999999999999,0.067,4.228
8.29999999999999,0.405,4.348
8.39999999999999,0.694,4.547
8.49999999999999,0.899,4.801
8.59999999999999,0.995,5.079
8.69999999999999,0.970,5.347
8.79999999999998,0.827,5.573
8.89999999999998,0.585,5.730
8.99999999999998,0.271,5.799
9.09999999999998,-0.076,5.770
9.19999999999998,-0.413,5.648
9.29999999999998,-0.700,5.448
9.39999999999998,-0.903,5.193
9.49999999999998,-0.995,4.915
9.59999999999998,-0.968,4.647
9.69999999999998,-0.823,4.422
9.79999999999998,-0.578,4.267
9.89999999999998,-0.263,4.201
9.99999999999998,0.084,4.232
10.1,0.421,4.356
10.2,0.706,4.558
10.3,0.906,4.814
10.4,0.996,5.092
10.5,0.966,5.359
10.6,0.818,5.583
10.7,0.571,5.736
10.8,0.255,5.800
10.9,-0.092,5.766
11,-0.428,5.640
11.1,-0.712,5.437
11.2,-0.910,5.180
11.3,-0.997,4.901
11.4,-0.963,4.635
11.5,-0.813,4.413
11.6,-0.564,4.262
11.7,-0.247,4.200
11.8,0.101,4.236
11.9,0.436,4.364
12,0.718,4.569
12.1,0.913,4.827
12.2,0.998,5.105
12.3,0.961,5.371
12.4,0.808,5.592
12.5,0.557,5.741
12.6,0.238,5.800
12.7,-0.109,5.762
