Time(s),Input,Output_Displacement
3.5,0.909,5.536
3.6,0.932,5.551
3.7,0.952,5.565
3.8,0.969,5.580
3.9,0.982,5.594
4,0.991,5.607
4.1,0.997,5.619
4.2,1.000,5.629
4.3,0.999,5.637
4.4,0.994,5.642
4.5,0.986,5.644
4.6,0.974,5.644
4.7,0.958,5.641
4.8,0.940,5.635
4.9,0.917,5.627
5,0.892,5.617
5.1,0.863,5.605
5.2,0.831,5.590
5.3,0.797,5.574
5.4,0.759,5.555
5.5,0.718,5.535
5.6,0.675,5.512
5.7,0.630,5.488
5.8,0.582,5.462
5.9,0.533,5.435
5.99999999999999,0.481,5.405
6.09999999999999,0.427,5.375
6.19999999999999,0.372,5.343
6.29999999999999,0.316,5.309
6.39999999999999,0.259,5.275
6.49999999999999,0.200,5.240
6.59999999999999,0.141,5.203
6.69999999999999,0.082,5.166
6.79999999999999,0.022,5.129
6.89999999999999,-0.038,5.091
6.99999999999999,-0.098,5.052
7.09999999999999,-0.158,5.014
7.19999999999999,-0.217,4.975
7.29999999999999,-0.275,4.937
7.39999999999999,-0.332,4.898
7.49999999999999,-0.388,4.861
7.59999999999999,-0.443,4.823
7.69999999999999,-0.495,4.786
7.79999999999999,-0.547,4.750
7.89999999999999,-0.596,4.715
7.99999999999999,-0.643,4.681
8.09999999999999,-0.688,4.648
8.19999999999999,-0.730,4.616
8.29999999999999,-0.770,4.586
8.39999999999999,-0.807,4.557
8.49999999999999,-0.841,4.530
8.59999999999999,-0.872,4.505
8.69999999999999,-0.899,4.481
8.79999999999998,-0.924,4.459
8.89999999999998,-0.945,4.439
8.99999999999998,-0.963,4.421
9.09999999999998,-0.978,4.405
9.19999999999998,-0.988,4.392
9.29999999999998,-0.996,4.380
9.39999999999998,-0.999,4.371
9.49999999999998,-1.000,4.364
9.59999999999998,-0.996,4.359
9.69999999999998,-0.989,4.357
9.79999999999998,-0.979,4.357
9.89999999999998,-0.964,4.359
9.99999999999998,-0.947,4.363
10.1,-0.926,4.370
10.2,-0.901,4.379
10.3,-0.874,4.391
10.4,-0.843,4.404
10.5,-0.809,4.420
10.6,-0.773,4.438
10.7,-0.733,4.457
10.8,-0.691,4.479
10.9,-0.647,4.503
11,-0.600,4.528
11.1,-0.551,4.555
11.2,-0.500,4.584
11.3,-0.447,4.614
11.4,-0.392,4.646
11.5,-0.336,4.678
11.6,-0.279,4.712
11.7,-0.221,4.748
11.8,-0.162,4.783
11.9,-0.103,4.820
12,-0.043,4.858
12.1,0.017,4.895
12.2,0.077,4.934
12.3,0.136,4.972
12.4,0.196,5.011
12.5,0.254,5.049
12.6,0.312,5.088
12.7,0.368,5.126
12.8,0.423,5.163
12.9,0.477,5.201
13,0.528,5.237
13.1,0.578,5.272
13.2,0.626,5.307
13.3,0.672,5.340
13.4,0.715,5.372
13.5,0.756,5.403
13.6,0.794,5.432
13.7,0.829,5.460
13.8,0.861,5.486
13.9,0.890,5.511
14,0.916,5.533
14.1,0.938,5.554
14.2,0.957,5.573
14.3,0.973,5.589
14.4,0.985,5.604
14.5,0.994,5.616
14.6,0.999,5.626
14.7,1.000,5.634
14.8,0.998,5.639
14.9,0.992,5.643
15,0.983,5.644
15.1,0.970,5.642
15.2,0.954,5.638
15.3,0.934,5.632
15.4,0.911,5.624
15.5,0.884,5.614
15.6,0.855,5.601
15.7,0.822,5.586
