Time(s),Input,Output_Displacement
3.2,0.998,4.852
3.3,0.941,5.155
3.4,0.728,5.438
3.5,0.394,5.652
3.6,-0.005,5.761
3.7,-0.403,5.744
3.8,-0.735,5.605
3.9,-0.944,5.364
4,-0.997,5.062
4.1,-0.885,4.748
4.2,-0.626,4.475
4.3,-0.263,4.289
4.4,0.143,4.220
4.5,0.526,4.280
4.6,0.821,4.459
4.7,0.981,4.729
4.8,0.977,5.044
4.9,0.812,5.351
5,0.512,5.601
5.1,0.128,5.751
5.2,-0.278,5.777
5.3,-0.638,5.674
5.4,-0.892,5.459
5.5,-0.998,5.168
5.6,-0.939,4.849
5.7,-0.724,4.555
5.8,-0.389,4.335
5.9,0.010,4.225
5.99999999999999,0.408,4.244
6.09999999999999,0.738,4.387
6.19999999999999,0.946,4.633
6.29999999999999,0.997,4.939
6.39999999999999,0.882,5.255
6.49999999999999,0.622,5.529
6.59999999999999,0.258,5.716
6.69999999999999,-0.148,5.783
6.79999999999999,-0.530,5.721
6.89999999999999,-0.824,5.539
6.99999999999999,-0.982,5.268
7.09999999999999,-0.976,4.953
7.19999999999999,-0.809,4.645
7.29999999999999,-0.508,4.396
7.39999999999999,-0.122,4.247
7.49999999999999,0.283,4.223
7.59999999999999,0.642,4.328
7.69999999999999,0.894,4.544
7.79999999999999,0.999,4.836
7.89999999999999,0.937,5.155
7.99999999999999,0.720,5.448
8.09999999999999,0.384,5.667
8.19999999999999,-0.016,5.775
8.29999999999999,-0.413,5.755
8.39999999999999,-0.742,5.610
8.49999999999999,-0.948,5.364
8.59999999999999,-0.996,5.057
8.69999999999999,-0.880,4.741
8.79999999999998,-0.618,4.468
8.89999999999998,-0.253,4.283
8.99999999999998,0.153,4.217
9.09999999999998,0.535,4.280
9.19999999999998,0.827,4.464
9.29999999999998,0.983,4.736
9.39999999999998,0.975,5.051
9.49999999999998,0.806,5.359
9.59999999999998,0.503,5.606
9.69999999999998,0.117,5.754
9.79999999999998,-0.288,5.776
9.89999999999998,-0.646,5.670
9.99999999999998,-0.897,5.453
10.1,-0.999,5.160
10.2,-0.935,4.841
10.3,-0.717,4.549
10.4,-0.379,4.331
10.5,0.021,4.224
10.6,0.418,4.246
10.7,0.745,4.393
10.8,0.949,4.640
10.9,0.996,4.947
11,0.878,5.263
11.1,0.614,5.535
11.2,0.248,5.719
11.3,-0.159,5.783
11.4,-0.539,5.718
11.5,-0.830,5.533
11.6,-0.984,5.261
11.7,-0.974,4.945
11.8,-0.803,4.638
11.9,-0.499,4.391
12,-0.112,4.245
12.1,0.293,4.224
12.2,0.650,4.332
12.3,0.899,4.551
12.4,0.999,4.844
12.5,0.933,5.163
12.6,0.713,5.455
12.7,0.375,5.671
12.8,-0.026,5.777
12.9,-0.422,5.753
13,-0.749,5.605
13.1,-0.951,5.356
13.2,-0.995,5.049
13.3,-0.875,4.733
13.4,-0.610,4.462
13.5,-0.243,4.280
13.6,0.164,4.217
13.7,0.543,4.284
13.8,0.833,4.470
13.9,0.985,4.743
14,0.973,5.059
14.1,0.800,5.366
14.2,0.494,5.612
14.3,0.107,5.756
14.4,-0.298,5.775
14.5,-0.654,5.666
14.6,-0.901,5.446
14.7,-0.999,5.152
14.8,-0.932,4.833
14.9,-0.709,4.542
15,-0.370,4.327
15.1,0.031,4.223
15.2,0.427,4.248
15.3,0.752,4.398
15.4,0.952,4.647
15.5,0.995,4.955
15.6,0.872,5.271
15.7,0.605,5.541
15.8,0.238,5.722
15.9,-0.169,5.783
16,-0.548,5.715
16.1,-0.836,5.527
16.2,-0.985,5.253
16.3,-0.972,4.936
16.4,-0.797,4.631
16.5,-0.490,4.386
16.6,-0.102,4.243
16.7,0.303,4.226
16.8,0.658,4.337
16.9,0.904,4.557
17,0.999,4.852
17.1,0.930,5.171
17.2,0.706,5.461
17.3,0.365,5.675
17.4,-0.037,5.778
17.5,-0.432,5.751
17.6,-0.756,5.600
17.7,-0.954,5.349
17.8,-0.994,5.041
17.9,-0.870,4.726
18,-0.601,4.456
18.1,-0.233,4.276
18.2,0.174,4.217
18.3,0.552,4.287
18.4,0.839,4.476
18.5,0.986,4.751
18.6,0.970,5.068
18.7,0.794,5.373
18.8,0.485,5.617
18.9,0.096,5.758
19,-0.308,5.774
19.1,-0.662,5.661
19.2,-0.906,5.439
19.3,-1.000,5.144
19.4,-0.928,4.825
19.5,-0.702,4.535
19.6,-0.360,4.323
19.7,0.042,4.222
19.8,0.437,4.250
19.9,0.759,4.403
20,0.956,4.655
20.1,0.994,4.963
20.2,0.867,5.278
20.3,0.597,5.547
20.4,0.228,5.725
20.5,-0.179,5.783
20.6,-0.557,5.711
20.7,-0.842,5.521
20.8,-0.987,5.245
20.9,-0.969,4.928
21,-0.790,4.623
21.1,-0.481,4.381
21.2,-0.091,4.241
21.3,0.313,4.227
21.4,0.666,4.341
21.5,0.908,4.564
21.6,1.000,4.860
21.7,0.926,5.179
21.8,0.698,5.468
21.9,0.355,5.679
22,-0.047,5.778
22.1,-0.441,5.748
22.2,-0.762,5.594
22.3,-0.957,5.342
22.4,-0.993,5.033
22.5,-0.865,4.718
