Time(s),Input,Output_Displacement
4.3,-0.631,4.311
4.4,-0.465,4.357
4.5,-0.279,4.429
4.6,-0.083,4.524
4.7,0.117,4.638
4.8,0.312,4.766
4.9,0.494,4.904
5,0.657,5.046
5.1,0.794,5.185
5.2,0.899,5.318
5.3,0.968,5.437
5.4,0.999,5.540
5.5,0.989,5.620
5.6,0.941,5.676
5.7,0.855,5.705
5.8,0.734,5.706
5.9,0.585,5.679
5.99999999999999,0.412,5.624
6.09999999999999,0.223,5.545
6.19999999999999,0.025,5.444
6.29999999999999,-0.174,5.325
6.39999999999999,-0.366,5.194
6.49999999999999,-0.544,5.054
6.59999999999999,-0.700,4.913
6.69999999999999,-0.828,4.775
6.79999999999999,-0.923,4.646
6.89999999999999,-0.981,4.531
6.99999999999999,-1.000,4.435
7.09999999999999,-0.979,4.361
7.19999999999999,-0.919,4.313
7.29999999999999,-0.823,4.292
7.39999999999999,-0.694,4.299
7.49999999999999,-0.537,4.335
7.59999999999999,-0.358,4.397
7.69999999999999,-0.166,4.482
7.79999999999999,0.034,4.589
7.89999999999999,0.232,4.712
7.99999999999999,0.420,4.846
8.09999999999999,0.592,4.987
8.19999999999999,0.740,5.128
8.29999999999999,0.859,5.264
8.39999999999999,0.944,5.389
8.49999999999999,0.991,5.499
8.59999999999999,0.998,5.589
8.69999999999999,0.966,5.656
8.79999999999998,0.895,5.696
8.89999999999998,0.788,5.709
8.99999999999998,0.650,5.693
9.09999999999998,0.486,5.650
9.19999999999998,0.303,5.581
9.29999999999998,0.108,5.488
9.39999999999998,-0.092,5.377
9.49999999999998,-0.288,5.250
9.59999999999998,-0.472,5.113
9.69999999999998,-0.638,4.972
9.79999999999998,-0.778,4.831
9.89999999999998,-0.888,4.698
9.99999999999998,-0.961,4.577
10.1,-0.997,4.472
10.2,-0.993,4.389
10.3,-0.949,4.330
10.4,-0.867,4.297
10.5,-0.751,4.293
10.6,-0.605,4.317
10.7,-0.435,4.368
10.8,-0.247,4.444
10.9,-0.050,4.542
11,0.150,4.659
11.1,0.343,4.789
11.2,0.523,4.928
11.3,0.682,5.070
11.4,0.814,5.208
11.5,0.913,5.339
11.6,0.976,5.456
11.7,1.000,5.555
11.8,0.984,5.631
11.9,0.929,5.683
12,0.837,5.707
12.1,0.711,5.703
12.2,0.557,5.671
12.3,0.381,5.613
12.4,0.190,5.529
12.5,-0.009,5.425
12.6,-0.207,5.304
12.7,-0.398,5.171
12.8,-0.572,5.031
12.9,-0.723,4.889
13,-0.846,4.752
13.1,-0.935,4.625
13.2,-0.987,4.513
13.3,-0.999,4.421
13.4,-0.972,4.351
13.5,-0.906,4.307
13.6,-0.803,4.291
13.7,-0.669,4.303
13.8,-0.508,4.343
13.9,-0.327,4.409
14,-0.132,4.499
14.1,0.067,4.609
14.2,0.264,4.734
14.3,0.450,4.870
14.4,0.619,5.011
14.5,0.763,5.151
14.6,0.876,5.286
14.7,0.954,5.409
14.8,0.995,5.516
14.9,0.995,5.602
15,0.956,5.665
15.1,0.879,5.700
15.2,0.767,5.708
15.3,0.624,5.688
15.4,0.457,5.640
15.5,0.271,5.567
15.6,0.074,5.471
15.7,-0.125,5.356
15.8,-0.320,5.227
