Time(s),Input,Output_Displacement
3.2,0.672,4.435
3.3,0.903,4.659
3.4,0.999,4.939
3.5,0.944,5.234
3.6,0.748,5.497
3.7,0.439,5.689
3.8,0.065,5.778
3.9,-0.320,5.752
4,-0.656,5.611
4.1,-0.894,5.378
4.2,-0.997,5.087
4.3,-0.951,4.782
4.4,-0.762,4.509
4.5,-0.459,4.309
4.6,-0.086,4.213
4.7,0.299,4.235
4.8,0.639,4.372
4.9,0.884,4.603
5,0.995,4.895
5.1,0.957,5.202
5.2,0.776,5.479
5.3,0.478,5.684
5.4,0.108,5.787
5.5,-0.278,5.771
5.6,-0.623,5.639
5.7,-0.873,5.412
5.8,-0.993,5.122
5.9,-0.963,4.814
5.99999999999999,-0.789,4.534
6.09999999999999,-0.496,4.324
6.19999999999999,-0.129,4.216
6.29999999999999,0.258,4.225
6.39999999999999,0.606,4.350
6.49999999999999,0.863,4.573
6.59999999999999,0.990,4.861
6.69999999999999,0.969,5.169
6.79999999999999,0.802,5.452
6.89999999999999,0.515,5.667
6.99999999999999,0.151,5.782
7.09999999999999,-0.237,5.779
7.19999999999999,-0.588,5.659
7.29999999999999,-0.852,5.441
7.39999999999999,-0.987,5.156
7.49999999999999,-0.974,4.848
7.59999999999999,-0.815,4.563
7.69999999999999,-0.534,4.343
7.79999999999999,-0.172,4.222
7.89999999999999,0.216,4.218
7.99999999999999,0.571,4.331
8.09999999999999,0.840,4.545
8.19999999999999,0.983,4.827
8.29999999999999,0.979,5.135
8.39999999999999,0.827,5.423
8.49999999999999,0.552,5.647
8.59999999999999,0.193,5.774
8.69999999999999,-0.194,5.785
8.79999999999998,-0.553,5.678
8.89999999999998,-0.828,5.469
8.99999999999998,-0.979,5.190
9.09999999999998,-0.983,4.882
9.19999999999998,-0.839,4.592
9.29999999999998,-0.570,4.363
9.39999999999998,-0.214,4.230
9.49999999999998,0.173,4.212
9.59999999999998,0.535,4.313
9.69999999999998,0.816,4.517
9.79999999999998,0.974,4.794
9.89999999999998,0.987,5.101
9.99999999999998,0.851,5.394
10.1,0.587,5.627
10.2,0.235,5.766
10.3,-0.152,5.790
10.4,-0.516,5.695
10.5,-0.803,5.496
10.6,-0.969,5.223
10.7,-0.990,4.916
10.8,-0.862,4.621
10.9,-0.604,4.384
11,-0.256,4.239
11.1,0.131,4.208
11.2,0.498,4.296
11.3,0.790,4.490
11.4,0.964,4.761
11.5,0.993,5.067
11.6,0.873,5.363
11.7,0.622,5.605
