Time(s),Input,Output_Displacement
4,0.746,5.601
4.1,0.675,5.571
4.2,0.598,5.535
4.3,0.516,5.493
4.4,0.427,5.446
4.5,0.335,5.395
4.6,0.239,5.340
4.7,0.141,5.282
4.8,0.042,5.221
4.9,-0.058,5.159
5,-0.158,5.095
5.1,-0.256,5.030
5.2,-0.351,4.964
5.3,-0.443,4.899
5.4,-0.530,4.835
5.5,-0.612,4.773
5.6,-0.688,4.713
5.7,-0.757,4.655
5.8,-0.818,4.601
5.9,-0.872,4.551
5.99999999999999,-0.916,4.506
6.09999999999999,-0.952,4.465
6.19999999999999,-0.978,4.430
6.29999999999999,-0.994,4.401
6.39999999999999,-1.000,4.377
6.49999999999999,-0.996,4.360
6.59999999999999,-0.982,4.349
6.69999999999999,-0.959,4.345
6.79999999999999,-0.926,4.347
6.89999999999999,-0.883,4.356
6.99999999999999,-0.832,4.371
7.09999999999999,-0.773,4.392
7.19999999999999,-0.706,4.420
7.29999999999999,-0.631,4.453
7.39999999999999,-0.551,4.492
7.49999999999999,-0.465,4.536
7.59999999999999,-0.374,4.584
7.69999999999999,-0.279,4.637
7.79999999999999,-0.182,4.693
7.89999999999999,-0.083,4.752
7.99999999999999,0.017,4.814
8.09999999999999,0.117,4.878
8.19999999999999,0.215,4.943
8.29999999999999,0.312,5.008
8.39999999999999,0.405,5.074
8.49999999999999,0.494,5.138
8.59999999999999,0.578,5.201
8.69999999999999,0.657,5.263
8.79999999999998,0.729,5.321
8.89999999999998,0.794,5.377
8.99999999999998,0.850,5.428
9.09999999999998,0.899,5.476
9.19999999999998,0.938,5.518
9.29999999999998,0.968,5.556
9.39999999999998,0.988,5.588
9.49999999999998,0.999,5.614
9.59999999999998,0.999,5.633
9.69999999999998,0.989,5.647
9.79999999999998,0.970,5.654
9.89999999999998,0.941,5.655
9.99999999999998,0.902,5.649
10.1,0.855,5.636
10.2,0.798,5.617
10.3,0.734,5.592
10.4,0.663,5.561
10.5,0.585,5.525
