Time(s),Input,Output_Displacement
3,0.944,5.554
3.1,0.964,5.575
3.2,0.979,5.594
3.3,0.990,5.609
3.4,0.997,5.622
3.5,1.000,5.632
3.6,0.999,5.639
3.7,0.993,5.643
3.8,0.983,5.645
3.9,0.969,5.644
4,0.951,5.640
4.1,0.929,5.634
4.2,0.903,5.625
4.3,0.873,5.613
4.4,0.840,5.599
4.5,0.803,5.582
4.6,0.762,5.563
4.7,0.718,5.541
4.8,0.672,5.518
4.9,0.622,5.491
5,0.570,5.463
5.1,0.516,5.433
5.2,0.459,5.401
5.3,0.400,5.368
5.4,0.340,5.332
5.5,0.278,5.296
5.6,0.215,5.258
5.7,0.151,5.219
5.8,0.086,5.179
5.9,0.022,5.139
5.99999999999999,-0.043,5.098
6.09999999999999,-0.108,5.056
6.19999999999999,-0.173,5.014
6.29999999999999,-0.236,4.972
6.39999999999999,-0.299,4.930
6.49999999999999,-0.360,4.889
6.59999999999999,-0.420,4.848
6.69999999999999,-0.478,4.808
6.79999999999999,-0.534,4.768
6.89999999999999,-0.588,4.729
6.99999999999999,-0.639,4.692
7.09999999999999,-0.688,4.656
7.19999999999999,-0.733,4.621
7.29999999999999,-0.776,4.588
7.39999999999999,-0.815,4.557
7.49999999999999,-0.851,4.527
7.59999999999999,-0.884,4.500
7.69999999999999,-0.912,4.474
7.79999999999999,-0.937,4.451
7.89999999999999,-0.958,4.430
7.99999999999999,-0.974,4.412
8.09999999999999,-0.987,4.396
8.19999999999999,-0.995,4.383
8.29999999999999,-0.999,4.372
8.39999999999999,-0.999,4.364
8.49999999999999,-0.995,4.358
8.59999999999999,-0.987,4.356
8.69999999999999,-0.974,4.356
8.79999999999998,-0.957,4.358
8.89999999999998,-0.937,4.364
8.99999999999998,-0.912,4.372
9.09999999999998,-0.883,4.383
9.19999999999998,-0.851,4.396
9.29999999999998,-0.815,4.412
9.39999999999998,-0.776,4.430
9.49999999999998,-0.733,4.451
9.59999999999998,-0.688,4.474
9.69999999999998,-0.639,4.500
9.79999999999998,-0.588,4.527
9.89999999999998,-0.534,4.557
9.99999999999998,-0.478,4.588
10.1,-0.420,4.621
10.2,-0.360,4.656
10.3,-0.299,4.692
10.4,-0.236,4.729
10.5,-0.172,4.768
10.6,-0.108,4.807
10.7,-0.043,4.848
10.8,0.022,4.889
10.9,0.087,4.930
11,0.151,4.972
11.1,0.215,5.014
11.2,0.278,5.056
11.3,0.340,5.097
11.4,0.400,5.139
11.5,0.459,5.179
11.6,0.516,5.219
11.7,0.570,5.258
11.8,0.622,5.296
11.9,0.672,5.332
12,0.719,5.368
12.1,0.762,5.401
12.2,0.803,5.433
12.3,0.840,5.463
12.4,0.873,5.491
12.5,0.903,5.517
12.6,0.929,5.541
12.7,0.951,5.563
12.8,0.969,5.582
12.9,0.983,5.599
13,0.993,5.613
13.1,0.999,5.625
13.2,1.000,5.634
13.3,0.997,5.640
13.4,0.990,5.644
13.5,0.979,5.645
13.6,0.963,5.643
13.7,0.944,5.638
13.8,0.921,5.631
13.9,0.893,5.621
14,0.862,5.609
14.1,0.828,5.594
14.2,0.789,5.576
14.3,0.748,5.556
14.4,0.703,5.534
14.5,0.655,5.509
14.6,0.605,5.482
14.7,0.552,5.453
14.8,0.497,5.423
14.9,0.439,5.390
15,0.380,5.356
15.1,0.319,5.320
15.2,0.257,5.283
15.3,0.194,5.245
15.4,0.129,5.206
15.5,0.065,5.166
15.6,0.000,5.125
15.7,-0.065,5.084
15.8,-0.130,5.042
15.9,-0.194,5.000
16,-0.257,4.958
16.1,-0.320,4.916
16.2,-0.380,4.875
16.3,-0.440,4.834
16.4,-0.497,4.794
16.5,-0.552,4.755
16.6,-0.605,4.717
16.7,-0.656,4.680
16.8,-0.703,4.644
16.9,-0.748,4.610
17,-0.790,4.577
17.1,-0.828,4.547
17.2,-0.863,4.518
17.3,-0.894,4.491
17.4,-0.921,4.466
17.5,-0.944,4.444
17.6,-0.964,4.424
17.7,-0.979,4.406
17.8,-0.990,4.391
17.9,-0.997,4.379
18,-1.000,4.369
18.1,-0.999,4.362
18.2,-0.993,4.357
18.3,-0.983,4.355
18.4,-0.969,4.356
18.5,-0.951,4.360
18.6,-0.929,4.366
18.7,-0.903,4.375
18.8,-0.873,4.387
18.9,-0.840,4.401
19,-0.802,4.418
19.1,-0.762,4.437
19.2,-0.718,4.459
19.3,-0.672,4.483
19.4,-0.622,4.509
19.5,-0.570,4.537
19.6,-0.515,4.567
19.7,-0.459,4.599
19.8,-0.400,4.632
19.9,-0.339,4.668
20,-0.278,4.704
20.1,-0.215,4.742
20.2,-0.151,4.781
20.3,-0.086,4.821
20.4,-0.021,4.861
20.5,0.044,4.903
20.6,0.108,4.944
20.7,0.173,4.986
20.8,0.236,5.028
20.9,0.299,5.070
21,0.360,5.111
21.1,0.420,5.152
21.2,0.478,5.193
21.3,0.534,5.232
21.4,0.588,5.271
21.5,0.639,5.308
21.6,0.688,5.344
21.7,0.734,5.379
21.8,0.776,5.412
21.9,0.816,5.443
22,0.851,5.473
22.1,0.884,5.500
22.2,0.912,5.526
22.3,0.937,5.549
22.4,0.958,5.570
22.5,0.974,5.588
22.6000000000001,0.987,5.604
22.7000000000001,0.995,5.617
22.8000000000001,0.999,5.628
22.9000000000001,0.999,5.636
23.0000000000001,0.995,5.642
23.1000000000001,0.987,5.644
23.2000000000001,0.974,5.644
23.3000000000001,0.957,5.642
23.4000000000001,0.937,5.636
23.5000000000001,0.912,5.628
23.6000000000001,0.883,5.617
23.7000000000001,0.851,5.604
23.8000000000001,0.815,5.588
23.9000000000001,0.776,5.570
24.0000000000001,0.733,5.549
24.1000000000001,0.687,5.526
24.2000000000001,0.639,5.500
24.3000000000001,0.587,5.473
24.4000000000001,0.534,5.443
24.5000000000001,0.478,5.412
24.6000000000001,0.420,5.379
24.7000000000001,0.360,5.344
24.8000000000001,0.298,5.308
24.9000000000001,0.236,5.271
25.0000000000001,0.172,5.232
25.1000000000001,0.108,5.192
25.2000000000001,0.043,5.152
25.3000000000001,-0.022,5.111
25.4000000000001,-0.087,5.070
25.5000000000001,-0.151,5.028
25.6000000000001,-0.215,4.986
25.7000000000001,-0.278,4.944
25.8000000000001,-0.340,4.903
25.9000000000001,-0.400,4.861
26.0000000000001,-0.459,4.821
26.1000000000001,-0.516,4.781
26.2000000000001,-0.570,4.742
26.3000000000001,-0.623,4.704
26.4000000000001,-0.672,4.668
26.5000000000001,-0.719,4.632
26.6000000000001,-0.762,4.599
26.7000000000001,-0.803,4.567
26.8000000000001,-0.840,4.537
26.9000000000001,-0.873,4.509
27.0000000000001,-0.903,4.483
27.1000000000001,-0.929,4.459
27.2000000000001,-0.951,4.437
27.3000000000001,-0.969,4.418
27.4000000000001,-0.983,4.401
27.5000000000001,-0.993,4.387
27.6000000000001,-0.999,4.375
27.7000000000001,-1.000,4.366
27.8000000000001,-0.997,4.360
27.9000000000001,-0.990,4.356
28.0000000000001,-0.979,4.355
28.1000000000001,-0.963,4.357
28.2000000000001,-0.944,4.362
28.3000000000001,-0.921,4.369
28.4000000000001,-0.893,4.379
28.5000000000001,-0.862,4.391
28.6000000000001,-0.827,4.406
28.7000000000001,-0.789,4.424
28.8000000000001,-0.748,4.444
28.9000000000001,-0.703,4.466
29.0000000000001,-0.655,4.491
29.1000000000001,-0.605,4.518
29.2000000000001,-0.552,4.547
29.3000000000001,-0.496,4.577
29.4000000000001,-0.439,4.610
29.5000000000001,-0.380,4.644
29.6000000000002,-0.319,4.680
29.7000000000002,-0.257,4.717
29.8000000000002,-0.193,4.755
29.9000000000002,-0.129,4.794
30.0000000000002,-0.065,4.834
30.1000000000002,0.000,4.875
30.2000000000002,0.065,4.917
30.3000000000002,0.130,4.958
30.4000000000002,0.194,5.000
30.5000000000002,0.258,5.042
30.6000000000002,0.320,5.084
30.7000000000002,0.381,5.125
30.8000000000002,0.440,5.166
30.9000000000002,0.497,5.206
31.0000000000002,0.553,5.245
31.1000000000002,0.606,5.283
31.2000000000002,0.656,5.320
31.3000000000002,0.704,5.356
31.4000000000002,0.748,5.390
31.5000000000002,0.790,5.423
31.6000000000002,0.828,5.453
31.7000000000002,0.863,5.482
31.8000000000002,0.894,5.509
31.9000000000002,0.921,5.534
32.0000000000002,0.944,5.556
32.1000000000002,0.964,5.576
32.2000000000002,0.979,5.594
32.3000000000002,0.990,5.609
32.4000000000002,0.997,5.621
32.5000000000002,1.000,5.631
32.6000000000002,0.999,5.638
32.7000000000002,0.993,5.643
32.8000000000002,0.983,5.645
32.9000000000002,0.969,5.644
33.0000000000002,0.951,5.640
33.1000000000002,0.929,5.634
33.2000000000002,0.903,5.625
33.3000000000002,0.873,5.613
33.4000000000002,0.839,5.599
33.5000000000002,0.802,5.582
33.6000000000002,0.762,5.563
33.7000000000002,0.718,5.541
33.8000000000002,0.671,5.517
33.9000000000002,0.622,5.491
34.0000000000002,0.570,5.463
34.1000000000002,0.515,5.433
34.2000000000002,0.458,5.401
34.3000000000002,0.400,5.367
34.4000000000002,0.339,5.332
34.5000000000002,0.277,5.296
34.6000000000002,0.214,5.258
34.7000000000002,0.151,5.219
34.8000000000002,0.086,5.179
34.9000000000002,0.021,5.138
35.0000000000002,-0.044,5.097
35.1000000000002,-0.109,5.056
35.2000000000002,-0.173,5.014
35.3000000000002,-0.237,4.972
35.4000000000002,-0.299,4.930
35.5000000000002,-0.361,4.889
35.6000000000002,-0.420,4.848
35.7000000000002,-0.478,4.807
35.8000000000002,-0.534,4.768
35.9000000000002,-0.588,4.729
36.0000000000002,-0.640,4.692
36.1000000000002,-0.688,4.656
36.2000000000002,-0.734,4.621
36.3000000000002,-0.776,4.588
36.4000000000002,-0.816,4.557
36.5000000000002,-0.852,4.527
36.6000000000003,-0.884,4.500
36.7000000000003,-0.912,4.474
36.8000000000003,-0.937,4.451
36.9000000000003,-0.958,4.430
37.0000000000003,-0.974,4.412
37.1000000000003,-0.987,4.396
37.2000000000003,-0.995,4.383
37.3000000000003,-0.999,4.372
37.4000000000003,-0.999,4.364
37.5000000000003,-0.995,4.358
37.6000000000003,-0.987,4.356
37.7000000000003,-0.974,4.356
37.8000000000003,-0.957,4.358
37.9000000000003,-0.937,4.364
38.0000000000003,-0.912,4.372
38.1000000000003,-0.883,4.383
38.2000000000003,-0.851,4.396
38.3000000000003,-0.815,4.412
38.4000000000003,-0.776,4.431
38.5000000000003,-0.733,4.451
38.6000000000003,-0.687,4.474
38.7000000000003,-0.639,4.500
38.8000000000003,-0.587,4.527
38.9000000000003,-0.534,4.557
39.0000000000003,-0.477,4.588
39.1000000000003,-0.419,4.621
39.2000000000003,-0.360,4.656
39.3000000000003,-0.298,4.692
39.4000000000003,-0.236,4.729
39.5000000000003,-0.172,4.768
39.6000000000003,-0.108,4.808
39.7000000000003,-0.043,4.848
39.8000000000003,0.022,4.889
39.9000000000003,0.087,4.931
40.0000000000003,0.152,4.972
40.1000000000003,0.216,5.014
40.2000000000003,0.279,5.056
40.3000000000003,0.340,5.098
40.4000000000003,0.401,5.139
40.5000000000003,0.459,5.179
40.6000000000003,0.516,5.219
40.7000000000003,0.571,5.258
40.8000000000003,0.623,5.296
40.9000000000003,0.672,5.333
41.0000000000003,0.719,5.368
41.1000000000003,0.763,5.401
41.2000000000003,0.803,5.433
41.3000000000003,0.840,5.463
41.4000000000003,0.873,5.492
41.5000000000003,0.903,5.518
41.6000000000003,0.929,5.541
41.7000000000003,0.951,5.563
41.8000000000003,0.969,5.582
41.9000000000003,0.983,5.599
42.0000000000003,0.993,5.613
42.1000000000003,0.999,5.625
