Time(s),Input,Output_Displacement
3.3,0.992,5.114
3.4,0.875,5.392
3.5,0.633,5.617
3.6,0.300,5.755
3.7,-0.075,5.785
3.8,-0.440,5.703
3.9,-0.741,5.519
4,-0.937,5.260
4.1,-1.000,4.963
4.2,-0.919,4.670
4.3,-0.708,4.425
4.4,-0.395,4.261
4.5,-0.026,4.203
4.6,0.346,4.258
4.7,0.670,4.420
4.8,0.897,4.665
4.9,0.997,4.958
5,0.954,5.257
5.1,0.776,5.519
5.2,0.486,5.707
5.3,0.128,5.794
5.4,-0.249,5.768
5.5,-0.591,5.633
5.6,-0.848,5.407
5.7,-0.984,5.123
5.8,-0.980,4.821
5.9,-0.836,4.545
5.99999999999999,-0.573,4.334
6.09999999999999,-0.228,4.218
6.19999999999999,0.150,4.213
6.29999999999999,0.506,4.321
6.39999999999999,0.790,4.526
6.49999999999999,0.961,4.798
6.59999999999999,0.995,5.099
6.69999999999999,0.887,5.386
6.79999999999999,0.653,5.618
6.89999999999999,0.325,5.762
6.99999999999999,-0.049,5.797
7.09999999999999,-0.416,5.718
7.19999999999999,-0.723,5.537
7.29999999999999,-0.928,5.279
7.39999999999999,-1.000,4.982
7.49999999999999,-0.929,4.687
7.59999999999999,-0.726,4.436
7.69999999999999,-0.419,4.267
7.79999999999999,-0.053,4.201
7.89999999999999,0.321,4.250
7.99999999999999,0.650,4.406
8.09999999999999,0.885,4.646
8.19999999999999,0.995,4.937
8.29999999999999,0.962,5.237
8.39999999999999,0.792,5.503
8.49999999999999,0.509,5.698
8.59999999999999,0.154,5.792
8.69999999999999,-0.224,5.774
8.79999999999998,-0.569,5.645
8.89999999999998,-0.834,5.425
8.99999999999998,-0.979,5.143
9.09999999999998,-0.985,4.841
9.19999999999998,-0.850,4.562
9.29999999999998,-0.594,4.346
9.39999999999998,-0.253,4.222
9.49999999999998,0.124,4.210
9.59999999999998,0.483,4.310
9.69999999999998,0.773,4.509
9.79999999999998,0.953,4.778
9.89999999999998,0.997,5.078
9.99999999999998,0.899,5.368
10.1,0.672,5.605
10.2,0.350,5.755
10.3,-0.022,5.798
10.4,-0.392,5.727
10.5,-0.705,5.552
10.6,-0.918,5.299
10.7,-1.000,5.003
10.8,-0.939,4.706
10.9,-0.744,4.452
11,-0.443,4.275
11.1,-0.079,4.202
11.2,0.296,4.243
11.3,0.629,4.392
11.4,0.873,4.627
11.5,0.992,4.916
11.6,0.969,5.217
11.7,0.808,5.487
11.8,0.532,5.687
11.9,0.180,5.789
12,-0.198,5.779
12.1,-0.547,5.658
12.2,-0.819,5.442
12.3,-0.973,5.164
12.4,-0.989,4.862
12.5,-0.864,4.580
12.6,-0.615,4.358
12.7,-0.279,4.227
12.8,0.098,4.207
12.9,0.460,4.300
13,0.756,4.492
13.1,0.945,4.758
13.2,0.999,5.057
13.3,0.910,5.349
13.4,0.692,5.591
13.5,0.375,5.748
13.6,0.004,5.799
13.7,-0.367,5.736
13.8,-0.686,5.567
13.9,-0.907,5.318
14,-0.999,5.024
14.1,-0.948,4.726
14.2,-0.761,4.467
14.3,-0.467,4.284
14.4,-0.105,4.204
14.5,0.271,4.237
14.6,0.609,4.378
14.7,0.860,4.609
14.8,0.988,4.895
14.9,0.975,5.197
15,0.823,5.470
15.1,0.554,5.676
15.2,0.206,5.786
15.3,-0.172,5.783
15.4,-0.525,5.669
15.5,-0.803,5.460
15.6,-0.967,5.185
15.7,-0.993,4.883
15.8,-0.877,4.598
15.9,-0.636,4.371
16,-0.304,4.233
16.1,0.071,4.205
16.2,0.436,4.290
16.3,0.739,4.476
16.4,0.936,4.738
16.5,1.000,5.036
16.6,0.921,5.330
16.7,0.711,5.576
16.8,0.399,5.740
16.9,0.030,5.799
17,-0.343,5.744
17.1,-0.667,5.582
17.2,-0.896,5.338
17.3,-0.997,5.045
17.4,-0.956,4.746
17.5,-0.778,4.483
17.6,-0.490,4.294
17.7,-0.131,4.206
17.8,0.246,4.231
17.9,0.588,4.365
18,0.846,4.591
18.1,0.983,4.874
18.2,0.981,5.176
18.3,0.838,5.453
18.4,0.576,5.665
18.5,0.231,5.782
18.6,-0.146,5.787
18.7,-0.503,5.681
18.8,-0.787,5.477
18.9,-0.960,5.205
19,-0.995,4.904
19.1,-0.889,4.617
19.2,-0.656,4.384
19.3,-0.329,4.239
19.4,0.045,4.203
19.5,0.412,4.280
19.6,0.721,4.461
19.7,0.926,4.718
19.8,1.000,5.015
19.9,0.931,5.310
20,0.729,5.561
20.1,0.423,5.732
20.2,0.057,5.799
20.3,-0.318,5.751
20.4,-0.647,5.596
20.5,-0.884,5.357
20.6,-0.994,5.066
20.7,-0.963,4.766
20.8,-0.795,4.499
20.9,-0.513,4.304
21,-0.158,4.208
21.1,0.220,4.225
21.2,0.566,4.353
21.3,0.831,4.573
21.4,0.978,4.854
21.5,0.985,5.155
21.6,0.852,5.435
