Time(s),Input,Output_Displacement
3.2,0.312,4.447
3.3,0.578,4.638
3.4,0.794,4.860
3.5,0.938,5.095
3.6,0.999,5.320
3.7,0.970,5.517
3.8,0.855,5.667
3.9,0.663,5.757
4,0.412,5.780
4.1,0.124,5.733
4.2,-0.174,5.621
4.3,-0.458,5.454
4.4,-0.700,5.246
4.5,-0.880,5.017
4.6,-0.981,4.785
4.7,-0.995,4.573
4.8,-0.919,4.399
4.9,-0.762,4.279
5,-0.537,4.223
5.1,-0.263,4.236
5.2,0.034,4.318
5.3,0.327,4.461
5.4,0.592,4.651
5.5,0.804,4.873
5.6,0.944,5.106
5.7,0.999,5.330
5.8,0.966,5.524
5.9,0.846,5.672
5.99999999999999,0.650,5.759
6.09999999999999,0.397,5.779
6.19999999999999,0.108,5.729
6.29999999999999,-0.191,5.614
6.39999999999999,-0.472,5.444
6.49999999999999,-0.712,5.234
6.59999999999999,-0.888,5.004
6.69999999999999,-0.984,4.773
6.79999999999999,-0.993,4.563
6.89999999999999,-0.913,4.391
6.99999999999999,-0.751,4.274
7.09999999999999,-0.522,4.222
7.19999999999999,-0.247,4.239
7.29999999999999,0.050,4.324
7.39999999999999,0.343,4.470
7.49999999999999,0.606,4.663
7.59999999999999,0.814,4.886
7.69999999999999,0.949,5.119
7.79999999999999,1.000,5.342
7.89999999999999,0.961,5.534
7.99999999999999,0.837,5.678
8.09999999999999,0.637,5.762
8.19999999999999,0.381,5.778
8.29999999999999,0.091,5.724
8.39999999999999,-0.207,5.605
8.49999999999999,-0.487,5.433
8.59999999999999,-0.723,5.222
8.69999999999999,-0.895,4.991
8.79999999999998,-0.987,4.761
8.89999999999998,-0.990,4.552
8.99999999999998,-0.906,4.383
9.09999999999998,-0.740,4.269
9.19999999999998,-0.508,4.221
9.29999999999998,-0.231,4.242
9.39999999999998,0.067,4.331
9.49999999999998,0.359,4.480
9.59999999999998,0.619,4.675
9.69999999999998,0.823,4.899
9.79999999999998,0.954,5.132
9.89999999999998,1.000,5.354
9.99999999999998,0.956,5.543
10.1,0.827,5.685
10.2,0.624,5.765
10.3,0.366,5.777
10.4,0.074,5.719
10.5,-0.224,5.597
10.6,-0.502,5.422
10.7,-0.735,5.209
10.8,-0.903,4.978
10.9,-0.989,4.748
11,-0.988,4.541
11.1,-0.898,4.375
11.2,-0.728,4.265
11.3,-0.493,4.220
11.4,-0.214,4.245
11.5,0.084,4.338
11.6,0.375,4.490
11.7,0.632,4.687
11.8,0.833,4.912
11.9,0.959,5.145
12,1.000,5.365
12.1,0.951,5.553
12.2,0.818,5.691
12.3,0.611,5.767
12.4,0.350,5.775
12.5,0.057,5.714
12.6,-0.240,5.589
12.7,-0.516,5.411
12.8,-0.746,5.196
12.9,-0.910,4.964
13,-0.992,4.736
13.1,-0.985,4.531
13.2,-0.891,4.367
13.3,-0.717,4.261
13.4,-0.479,4.220
13.5,-0.198,4.249
13.6,0.101,4.345
13.7,0.390,4.500
13.8,0.645,4.699
13.9,0.842,4.925
14,0.964,5.158
14.1,1.000,5.377
14.2,0.946,5.562
14.3,0.808,5.697
14.4,0.598,5.770
14.5,0.334,5.773
14.6,0.041,5.708
14.7,-0.256,5.580
14.8,-0.531,5.400
14.9,-0.757,5.184
15,-0.917,4.951
