Time(s),Input,Output_Displacement
5.5,0.638,5.507
5.6,0.582,5.478
5.7,0.524,5.446
5.8,0.463,5.412
5.9,0.400,5.377
5.99999999999999,0.335,5.339
6.09999999999999,0.268,5.300
6.19999999999999,0.200,5.259
6.29999999999999,0.131,5.217
6.39999999999999,0.062,5.174
6.49999999999999,-0.008,5.130
6.59999999999999,-0.078,5.085
6.69999999999999,-0.148,5.040
6.79999999999999,-0.217,4.995
6.89999999999999,-0.284,4.950
6.99999999999999,-0.351,4.905
7.09999999999999,-0.415,4.860
7.19999999999999,-0.478,4.817
7.29999999999999,-0.538,4.774
7.39999999999999,-0.596,4.732
7.49999999999999,-0.651,4.692
7.59999999999999,-0.702,4.653
7.69999999999999,-0.750,4.615
7.79999999999999,-0.795,4.580
7.89999999999999,-0.835,4.547
7.99999999999999,-0.872,4.516
8.09999999999999,-0.904,4.487
8.19999999999999,-0.931,4.461
8.29999999999999,-0.955,4.437
8.39999999999999,-0.973,4.416
8.49999999999999,-0.987,4.398
8.59999999999999,-0.996,4.383
8.69999999999999,-1.000,4.372
8.79999999999998,-0.999,4.363
8.89999999999998,-0.993,4.357
8.99999999999998,-0.982,4.354
9.09999999999998,-0.967,4.355
9.19999999999998,-0.947,4.358
9.29999999999998,-0.922,4.365
9.39999999999998,-0.893,4.375
9.49999999999998,-0.859,4.388
9.59999999999998,-0.821,4.404
9.69999999999998,-0.779,4.423
9.79999999999998,-0.733,4.445
9.89999999999998,-0.684,4.469
9.99999999999998,-0.631,4.497
10.1,-0.575,4.526
10.2,-0.517,4.558
10.3,-0.456,4.592
10.4,-0.392,4.628
10.5,-0.327,4.666
10.6,-0.260,4.705
10.7,-0.192,4.746
10.8,-0.123,4.788
10.9,-0.053,4.832
11,0.017,4.876
11.1,0.087,4.920
11.2,0.156,4.965
11.3,0.225,5.010
11.4,0.292,5.056
11.5,0.359,5.101
11.6,0.423,5.145
11.7,0.485,5.189
11.8,0.545,5.231
11.9,0.603,5.273
12,0.657,5.313
12.1,0.708,5.352
12.2,0.756,5.389
12.3,0.800,5.424
12.4,0.840,5.457
12.5,0.876,5.488
12.6,0.907,5.516
12.7,0.934,5.542
12.8,0.957,5.565
12.9,0.975,5.586
13,0.988,5.603
13.1,0.996,5.618
13.2,1.000,5.630
13.3,0.998,5.638
13.4,0.992,5.644
13.5,0.981,5.646
13.6,0.965,5.645
13.7,0.944,5.641
13.8,0.919,5.634
13.9,0.889,5.623
14,0.855,5.610
14.1,0.816,5.594
14.2,0.774,5.574
14.3,0.728,5.552
14.4,0.678,5.527
14.5,0.625,5.500
14.6,0.569,5.470
14.7,0.510,5.438
14.8,0.448,5.404
14.9,0.385,5.368
15,0.319,5.330
15.1,0.252,5.290
15.2,0.184,5.249
15.3,0.115,5.206
15.4,0.045,5.163
15.5,-0.025,5.119
15.6,-0.095,5.074
15.7,-0.164,5.029
15.8,-0.233,4.984
15.9,-0.301,4.939
16,-0.366,4.894
16.1,-0.431,4.850
16.2,-0.493,4.806
16.3,-0.552,4.764
16.4,-0.609,4.722
16.5,-0.663,4.682
16.6,-0.714,4.644
16.7,-0.761,4.607
16.8,-0.805,4.572
16.9,-0.844,4.539
17,-0.880,4.509
17.1,-0.911,4.480
17.2,-0.937,4.455
17.3,-0.960,4.432
17.4,-0.977,4.412
17.5,-0.989,4.395
17.6,-0.997,4.380
17.7,-1.000,4.369
17.8,-0.998,4.361
17.9,-0.991,4.356
18,-0.979,4.354
18.1,-0.963,4.355
18.2,-0.941,4.360
18.3,-0.915,4.367
18.4,-0.885,4.378
18.5,-0.850,4.392
18.6,-0.811,4.409
18.7,-0.768,4.428
18.8,-0.722,4.451
18.9,-0.672,4.476
19,-0.618,4.503
19.1,-0.562,4.534
19.2,-0.502,4.566
19.3,-0.441,4.600
19.4,-0.377,4.637
19.5,-0.311,4.675
19.6,-0.244,4.715
19.7,-0.175,4.756
19.8,-0.106,4.799
19.9,-0.036,4.842
20,0.034,4.886
20.1,0.103,4.931
20.2,0.173,4.976
20.3,0.241,5.021
20.4,0.309,5.066
20.5,0.374,5.111
20.6,0.438,5.155
20.7,0.500,5.199
20.8,0.559,5.241
20.9,0.616,5.283
21,0.670,5.323
21.1,0.720,5.361
21.2,0.767,5.398
21.3,0.810,5.432
21.4,0.849,5.465
21.5,0.884,5.495
21.6,0.914,5.523
21.7,0.940,5.548
21.8,0.962,5.571
21.9,0.979,5.590
22,0.991,5.607
22.1,0.998,5.621
22.2,1.000,5.632
22.3,0.997,5.640
22.4,0.990,5.644
22.5,0.977,5.646
22.6000000000001,0.960,5.644
22.7000000000001,0.938,5.639
22.8000000000001,0.912,5.631
22.9000000000001,0.881,5.620
23.0000000000001,0.846,5.606
23.1000000000001,0.806,5.589
23.2000000000001,0.763,5.569
23.3000000000001,0.716,5.546
23.4000000000001,0.665,5.521
23.5000000000001,0.612,5.493
23.6000000000001,0.555,5.463
23.7000000000001,0.495,5.430
23.8000000000001,0.433,5.395
23.9000000000001,0.369,5.359
24.0000000000001,0.303,5.320
24.1000000000001,0.236,5.280
24.2000000000001,0.167,5.239
24.3000000000001,0.098,5.196
24.4000000000001,0.028,5.153
24.5000000000001,-0.042,5.108
24.6000000000001,-0.112,5.064
24.7000000000001,-0.181,5.018
