Time(s),Input,Output_Displacement
4.2,-0.988,5.154
4.3,-0.404,5.137
4.4,0.551,4.994
4.5,1.000,4.856
4.6,0.529,4.850
4.7,-0.428,4.983
4.8,-0.992,5.131
4.9,-0.644,5.159
5,0.296,5.041
5.1,0.964,4.885
5.2,0.745,4.835
5.3,-0.159,4.937
5.4,-0.917,5.096
5.5,-0.832,5.167
5.6,0.018,5.085
5.7,0.851,4.924
5.8,0.902,4.833
5.9,0.124,4.896
5.99999999999999,-0.768,5.054
6.09999999999999,-0.954,5.163
6.19999999999999,-0.262,5.122
6.29999999999999,0.670,4.969
6.39999999999999,0.987,4.845
6.49999999999999,0.396,4.863
6.59999999999999,-0.559,5.008
6.69999999999999,-1.000,5.145
6.79999999999999,-0.522,5.149
6.89999999999999,0.436,5.016
6.99999999999999,0.993,4.868
7.09999999999999,0.637,4.842
7.19999999999999,-0.305,4.961
7.29999999999999,-0.966,5.116
7.39999999999999,-0.739,5.164
7.49999999999999,0.167,5.062
7.59999999999999,0.920,4.903
7.69999999999999,0.827,4.833
7.79999999999999,-0.027,4.917
7.89999999999999,-0.856,5.077
7.99999999999999,-0.898,5.167
8.09999999999999,-0.115,5.103
8.19999999999999,0.774,4.945
8.29999999999999,0.951,4.837
8.39999999999999,0.254,4.879
8.49999999999999,-0.677,5.033
8.59999999999999,-0.985,5.156
8.69999999999999,-0.388,5.136
8.79999999999998,0.566,4.991
8.89999999999998,1.000,4.854
8.99999999999998,0.514,4.852
9.09999999999998,-0.444,4.985
9.19999999999998,-0.994,5.132
9.29999999999998,-0.630,5.158
9.39999999999998,0.313,5.038
9.49999999999998,0.968,4.883
9.59999999999998,0.733,4.836
9.69999999999998,-0.176,4.939
9.79999999999998,-0.923,5.099
9.89999999999998,-0.822,5.167
9.99999999999998,0.035,5.082
10.1,0.860,4.922
10.2,0.894,4.833
10.3,0.106,4.898
10.4,-0.779,5.057
10.5,-0.948,5.163
10.6,-0.245,5.120
10.7,0.683,4.966
10.8,0.984,4.844
10.9,0.380,4.865
11,-0.573,5.011
11.1,-0.999,5.146
11.2,-0.506,5.148
11.3,0.452,5.013
11.4,0.995,4.867
11.5,0.623,4.843
11.6,-0.322,4.963
11.7,-0.971,5.118
11.8,-0.727,5.164
11.9,0.185,5.059
12,0.927,4.900
12.1,0.817,4.833
12.2,-0.044,4.919
12.3,-0.865,5.080
12.4,-0.890,5.167
12.5,-0.097,5.101
12.6,0.785,4.942
12.7,0.945,4.836
12.8,0.237,4.881
12.9,-0.690,5.035
13,-0.982,5.157
13.1,-0.371,5.134
13.2,0.581,4.988
13.3,0.999,4.853
13.4,0.499,4.853
13.5,-0.460,4.988
