Time(s),Input,Output_Displacement
3.1,0.999,5.625
3.2,0.990,5.640
3.3,0.974,5.649
3.4,0.949,5.651
3.5,0.917,5.648
3.6,0.878,5.638
3.7,0.831,5.622
3.8,0.778,5.601
3.9,0.718,5.575
4,0.653,5.544
4.1,0.582,5.508
4.2,0.507,5.469
4.3,0.427,5.426
4.4,0.344,5.380
4.5,0.259,5.331
4.6,0.171,5.280
4.7,0.082,5.226
4.8,-0.008,5.170
4.9,-0.098,5.113
5,-0.187,5.055
5.1,-0.275,4.996
5.2,-0.360,4.938
5.3,-0.443,4.880
5.4,-0.521,4.823
5.5,-0.596,4.767
5.6,-0.666,4.713
5.7,-0.730,4.662
5.8,-0.789,4.613
5.9,-0.841,4.567
5.99999999999999,-0.886,4.525
6.09999999999999,-0.924,4.487
6.19999999999999,-0.955,4.453
6.29999999999999,-0.978,4.423
6.39999999999999,-0.993,4.398
6.49999999999999,-0.999,4.378
6.59999999999999,-0.998,4.363
6.69999999999999,-0.989,4.353
6.79999999999999,-0.972,4.349
6.89999999999999,-0.947,4.349
6.99999999999999,-0.914,4.355
7.09999999999999,-0.874,4.366
7.19999999999999,-0.827,4.382
7.29999999999999,-0.773,4.404
7.39999999999999,-0.713,4.430
7.49999999999999,-0.647,4.460
7.59999999999999,-0.575,4.495
7.69999999999999,-0.500,4.534
7.79999999999999,-0.420,4.577
7.89999999999999,-0.336,4.623
7.99999999999999,-0.250,4.673
8.09999999999999,-0.162,4.725
8.19999999999999,-0.073,4.779
8.29999999999999,0.017,4.835
8.39999999999999,0.107,4.892
8.49999999999999,0.196,4.951
8.59999999999999,0.283,5.009
8.69999999999999,0.368,5.068
8.79999999999998,0.450,5.126
8.89999999999998,0.528,5.183
8.99999999999998,0.603,5.238
9.09999999999998,0.672,5.292
9.19999999999998,0.736,5.343
9.29999999999998,0.794,5.391
9.39999999999998,0.845,5.437
9.49999999999998,0.890,5.478
9.59999999999998,0.927,5.516
9.69999999999998,0.957,5.550
9.79999999999998,0.979,5.579
9.89999999999998,0.994,5.604
9.99999999999998,1.000,5.623
10.1,0.998,5.638
10.2,0.988,5.647
10.3,0.970,5.652
10.4,0.944,5.650
10.5,0.911,5.644
10.6,0.870,5.633
10.7,0.822,5.616
10.8,0.767,5.594
10.9,0.707,5.568
11,0.640,5.537
11.1,0.569,5.501
11.2,0.492,5.462
11.3,0.412,5.419
11.4,0.329,5.372
11.5,0.242,5.322
11.6,0.154,5.270
