Time(s),Input,Output_Displacement
4,0.908,5.631
4.1,0.876,5.621
4.2,0.840,5.606
4.3,0.799,5.589
4.4,0.754,5.568
4.5,0.705,5.544
4.6,0.652,5.517
4.7,0.596,5.488
4.8,0.538,5.456
4.9,0.476,5.422
5,0.412,5.386
5.1,0.346,5.348
5.2,0.278,5.308
5.3,0.209,5.267
5.4,0.138,5.224
5.5,0.067,5.180
5.6,-0.004,5.135
5.7,-0.076,5.090
5.8,-0.147,5.044
5.9,-0.217,4.998
5.99999999999999,-0.286,4.951
6.09999999999999,-0.354,4.906
6.19999999999999,-0.420,4.860
6.29999999999999,-0.484,4.815
6.39999999999999,-0.545,4.772
6.49999999999999,-0.604,4.729
6.59999999999999,-0.659,4.688
6.69999999999999,-0.711,4.648
6.79999999999999,-0.759,4.610
6.89999999999999,-0.804,4.574
6.99999999999999,-0.844,4.541
7.09999999999999,-0.880,4.509
7.19999999999999,-0.912,4.481
7.29999999999999,-0.939,4.455
7.39999999999999,-0.961,4.431
7.49999999999999,-0.978,4.411
7.59999999999999,-0.991,4.393
7.69999999999999,-0.998,4.379
7.79999999999999,-1.000,4.368
7.89999999999999,-0.997,4.360
7.99999999999999,-0.989,4.355
8.09999999999999,-0.976,4.354
8.19999999999999,-0.957,4.356
8.29999999999999,-0.934,4.361
8.39999999999999,-0.907,4.369
8.49999999999999,-0.874,4.381
8.59999999999999,-0.837,4.396
8.69999999999999,-0.796,4.414
8.79999999999998,-0.751,4.435
8.89999999999998,-0.702,4.459
8.99999999999998,-0.649,4.485
9.09999999999998,-0.593,4.514
9.19999999999998,-0.534,4.546
9.29999999999998,-0.472,4.580
9.39999999999998,-0.408,4.616
9.49999999999998,-0.342,4.655
9.59999999999998,-0.274,4.694
9.69999999999998,-0.204,4.736
9.79999999999998,-0.134,4.779
9.89999999999998,-0.063,4.823
9.99999999999998,0.009,4.868
10.1,0.080,4.913
10.2,0.151,4.959
10.3,0.221,5.005
10.4,0.291,5.051
10.5,0.358,5.097
10.6,0.424,5.143
10.7,0.488,5.187
10.8,0.549,5.231
10.9,0.607,5.274
11,0.662,5.315
11.1,0.714,5.354
11.2,0.762,5.392
11.3,0.807,5.428
11.4,0.847,5.461
11.5,0.883,5.492
11.6,0.914,5.521
11.7,0.941,5.547
11.8,0.962,5.570
11.9,0.979,5.590
12,0.991,5.608
12.1,0.998,5.622
12.2,1.000,5.633
12.3,0.997,5.641
12.4,0.988,5.645
12.5,0.975,5.646
12.6,0.956,5.644
12.7,0.933,5.639
12.8,0.905,5.630
12.9,0.872,5.618
13,0.835,5.603
13.1,0.793,5.585
13.2,0.748,5.564
13.3,0.698,5.540
13.4,0.646,5.513
13.5,0.589,5.484
13.6,0.530,5.452
13.7,0.468,5.418
13.8,0.404,5.381
13.9,0.338,5.343
14,0.269,5.303
14.1,0.200,5.261
14.2,0.129,5.219
14.3,0.058,5.175
14.4,-0.013,5.130
14.5,-0.085,5.084
14.6,-0.156,5.038
14.7,-0.226,4.992
14.8,-0.295,4.946
14.9,-0.362,4.900
15,-0.428,4.855
15.1,-0.491,4.810
15.2,-0.552,4.766
15.3,-0.611,4.724
15.4,-0.666,4.683
15.5,-0.717,4.643
15.6,-0.765,4.606
15.7,-0.809,4.570
15.8,-0.849,4.537
15.9,-0.885,4.506
16,-0.916,4.477
16.1,-0.942,4.451
16.2,-0.964,4.428
16.3,-0.980,4.408
16.4,-0.992,4.391
16.5,-0.998,4.377
16.6,-1.000,4.367
16.7,-0.996,4.359
16.8,-0.987,4.355
16.9,-0.974,4.354
17,-0.955,4.356
17.1,-0.931,4.362
17.2,-0.903,4.371
17.3,-0.870,4.383
17.4,-0.832,4.398
17.5,-0.791,4.416
17.6,-0.745,4.438
17.7,-0.695,4.462
17.8,-0.642,4.489
17.9,-0.586,4.518
18,-0.526,4.550
18.1,-0.464,4.585
18.2,-0.400,4.621
18.3,-0.333,4.659
18.4,-0.265,4.700
18.5,-0.196,4.741
18.6,-0.125,4.784
18.7,-0.054,4.828
18.8,0.018,4.873
18.9,0.089,4.919
19,0.160,4.965
19.1,0.230,5.011
19.2,0.299,5.057
19.3,0.366,5.103
19.4,0.432,5.148
19.5,0.495,5.193
19.6,0.556,5.236
19.7,0.614,5.279
19.8,0.669,5.320
19.9,0.720,5.359
20,0.768,5.396
20.1,0.812,5.432
20.2,0.851,5.465
20.3,0.887,5.496
20.4,0.917,5.524
20.5,0.944,5.550
20.6,0.965,5.573
20.7,0.981,5.593
20.8,0.992,5.610
20.9,0.999,5.623
21,1.000,5.634
21.1,0.996,5.641
21.2,0.987,5.645
21.3,0.973,5.646
21.4,0.954,5.644
21.5,0.930,5.638
21.6,0.901,5.629
21.7,0.868,5.616
21.8,0.830,5.601
21.9,0.788,5.582
22,0.742,5.561
22.1,0.692,5.537
22.2,0.639,5.510
22.3,0.582,5.480
22.4,0.523,5.448
22.5,0.460,5.413
