Time(s),Input,Output_Displacement
3.5,0.982,5.651
3.6,0.964,5.653
3.7,0.940,5.649
3.8,0.909,5.641
3.9,0.873,5.628
4,0.831,5.611
4.1,0.784,5.591
4.2,0.732,5.567
4.3,0.675,5.539
4.4,0.614,5.508
4.5,0.549,5.475
4.6,0.481,5.438
4.7,0.409,5.399
4.8,0.335,5.357
4.9,0.259,5.313
5,0.181,5.266
5.1,0.101,5.218
5.2,0.022,5.169
5.3,-0.058,5.118
5.4,-0.138,5.067
5.5,-0.217,5.015
5.6,-0.294,4.963
5.7,-0.369,4.911
5.8,-0.443,4.860
5.9,-0.513,4.810
5.99999999999999,-0.580,4.761
6.09999999999999,-0.643,4.714
6.19999999999999,-0.702,4.668
6.29999999999999,-0.757,4.625
6.39999999999999,-0.807,4.584
6.49999999999999,-0.851,4.545
6.59999999999999,-0.890,4.510
6.69999999999999,-0.924,4.477
6.79999999999999,-0.952,4.448
6.89999999999999,-0.973,4.423
6.99999999999999,-0.988,4.401
7.09999999999999,-0.997,4.383
7.19999999999999,-1.000,4.369
7.29999999999999,-0.996,4.359
7.39999999999999,-0.986,4.353
7.49999999999999,-0.970,4.351
7.59999999999999,-0.947,4.354
7.69999999999999,-0.918,4.360
7.79999999999999,-0.883,4.371
7.89999999999999,-0.843,4.386
7.99999999999999,-0.798,4.404
8.09999999999999,-0.747,4.426
8.19999999999999,-0.691,4.453
8.29999999999999,-0.631,4.482
8.39999999999999,-0.567,4.515
8.49999999999999,-0.500,4.551
8.59999999999999,-0.429,4.590
8.69999999999999,-0.355,4.631
8.79999999999998,-0.279,4.675
8.89999999999998,-0.202,4.721
8.99999999999998,-0.123,4.769
9.09999999999998,-0.043,4.818
9.19999999999998,0.037,4.868
9.29999999999998,0.117,4.919
9.39999999999998,0.196,4.971
9.49999999999998,0.273,5.023
9.59999999999998,0.349,5.075
9.69999999999998,0.423,5.126
9.79999999999998,0.494,5.176
9.89999999999998,0.562,5.226
9.99999999999998,0.626,5.274
10.1,0.687,5.320
10.2,0.743,5.364
10.3,0.794,5.406
10.4,0.840,5.445
10.5,0.880,5.481
10.6,0.916,5.514
10.7,0.945,5.544
