Time(s),Input,Output_Displacement
5.3,0.305,5.176
5.4,0.315,5.183
5.5,0.324,5.189
5.6,0.333,5.195
5.7,0.343,5.201
5.8,0.352,5.207
5.9,0.362,5.213
5.99999999999999,0.371,5.219
6.09999999999999,0.380,5.225
6.19999999999999,0.389,5.230
6.29999999999999,0.399,5.236
6.39999999999999,0.408,5.242
6.49999999999999,0.417,5.248
6.59999999999999,0.426,5.254
6.69999999999999,0.435,5.260
6.79999999999999,0.444,5.266
6.89999999999999,0.453,5.272
6.99999999999999,0.462,5.277
7.09999999999999,0.471,5.283
7.19999999999999,0.479,5.289
7.29999999999999,0.488,5.294
7.39999999999999,0.497,5.300
7.49999999999999,0.506,5.306
7.59999999999999,0.514,5.311
7.69999999999999,0.523,5.317
7.79999999999999,0.531,5.322
7.89999999999999,0.540,5.328
7.99999999999999,0.548,5.333
8.09999999999999,0.556,5.339
8.19999999999999,0.565,5.344
8.29999999999999,0.573,5.349
8.39999999999999,0.581,5.355
8.49999999999999,0.589,5.360
8.59999999999999,0.597,5.365
8.69999999999999,0.605,5.370
8.79999999999998,0.613,5.376
8.89999999999998,0.621,5.381
8.99999999999998,0.629,5.386
9.09999999999998,0.637,5.391
9.19999999999998,0.644,5.396
9.29999999999998,0.652,5.401
9.39999999999998,0.659,5.406
9.49999999999998,0.667,5.411
9.59999999999998,0.674,5.415
9.69999999999998,0.682,5.420
9.79999999999998,0.689,5.425
9.89999999999998,0.696,5.430
9.99999999999998,0.703,5.434
10.1,0.710,5.439
10.2,0.717,5.444
10.3,0.724,5.448
10.4,0.731,5.453
10.5,0.738,5.457
10.6,0.745,5.462
10.7,0.751,5.466
10.8,0.758,5.470
10.9,0.764,5.475
11,0.771,5.479
11.1,0.777,5.483
11.2,0.783,5.487
11.3,0.790,5.491
11.4,0.796,5.495
11.5,0.802,5.499
11.6,0.808,5.503
11.7,0.813,5.507
11.8,0.819,5.511
11.9,0.825,5.515
12,0.830,5.518
12.1,0.836,5.522
12.2,0.841,5.526
12.3,0.847,5.529
12.4,0.852,5.533
12.5,0.857,5.536
12.6,0.862,5.540
12.7,0.867,5.543
12.8,0.872,5.546
12.9,0.877,5.550
13,0.882,5.553
13.1,0.887,5.556
13.2,0.891,5.559
13.3,0.896,5.562
13.4,0.900,5.565
13.5,0.904,5.568
13.6,0.909,5.571
13.7,0.913,5.574
13.8,0.917,5.576
13.9,0.921,5.579
14,0.925,5.582
14.1,0.928,5.584
14.2,0.932,5.587
14.3,0.936,5.589
14.4,0.939,5.592
14.5,0.942,5.594
14.6,0.946,5.596
14.7,0.949,5.598
14.8,0.952,5.601
14.9,0.955,5.603
15,0.958,5.605
15.1,0.961,5.607
15.2,0.964,5.609
15.3,0.966,5.610
15.4,0.969,5.612
