Time(s),Input,Output_Displacement
2.9,0.798,5.033
3,0.412,5.342
3.1,-0.075,5.575
3.2,-0.544,5.674
3.3,-0.880,5.615
3.4,-1.000,5.410
3.5,-0.875,5.108
3.6,-0.537,4.780
3.7,-0.066,4.506
3.8,0.420,4.351
3.9,0.804,4.354
4,0.991,4.513
4.1,0.935,4.791
4.2,0.650,5.119
4.3,0.206,5.417
4.4,-0.288,5.613
4.5,-0.712,5.659
4.6,-0.961,5.544
4.7,-0.976,5.297
4.8,-0.751,4.976
4.9,-0.342,4.662
5,0.150,4.431
5.1,0.606,4.339
5.2,0.913,4.409
5.3,0.997,4.623
5.4,0.837,4.930
5.5,0.472,5.254
5.6,-0.009,5.516
5.7,-0.487,5.651
5.8,-0.846,5.627
5.9,-0.998,5.449
5.99999999999999,-0.906,5.162
6.09999999999999,-0.591,4.835
6.19999999999999,-0.132,4.548
6.29999999999999,0.359,4.372
6.39999999999999,0.763,4.350
6.49999999999999,0.979,4.487
6.59999999999999,0.956,4.750
6.69999999999999,0.699,5.074
6.79999999999999,0.271,5.379
6.89999999999999,-0.224,5.593
6.99999999999999,-0.664,5.661
7.09999999999999,-0.941,5.567
7.19999999999999,-0.988,5.334
7.29999999999999,-0.793,5.020
7.39999999999999,-0.404,4.701
7.49999999999999,0.084,4.455
7.59999999999999,0.551,4.342
7.69999999999999,0.884,4.391
7.79999999999999,1.000,4.589
7.89999999999999,0.871,4.887
7.99999999999999,0.529,5.213
8.09999999999999,0.057,5.487
8.19999999999999,-0.428,5.642
8.29999999999999,-0.809,5.639
8.39999999999999,-0.992,5.480
8.49999999999999,-0.932,5.204
8.59999999999999,-0.644,4.877
8.69999999999999,-0.198,4.581
8.79999999999998,0.296,4.387
8.89999999999998,0.718,4.343
8.99999999999998,0.964,4.460
9.09999999999998,0.974,4.710
9.19999999999998,0.745,5.030
9.29999999999998,0.334,5.343
9.39999999999998,-0.159,5.572
9.49999999999998,-0.613,5.661
9.59999999999998,-0.917,5.588
9.69999999999998,-0.996,5.371
9.79999999999998,-0.832,5.064
9.89999999999998,-0.464,4.740
9.99999999999998,0.018,4.481
10.1,0.495,4.348
10.2,0.851,4.375
10.3,0.999,4.555
10.4,0.902,4.844
10.5,0.584,5.171
10.6,0.124,5.456
10.7,-0.367,5.630
10.8,-0.768,5.649
10.9,-0.981,5.509
11,-0.954,5.245
11.1,-0.693,4.921
11.2,-0.262,4.616
11.3,0.232,4.405
11.4,0.670,4.340
11.5,0.944,4.436
11.6,0.987,4.671
11.7,0.788,4.986
11.8,0.396,5.305
11.9,-0.093,5.549
12,-0.559,5.658
12.1,-0.888,5.607
12.2,-1.000,5.407
12.3,-0.867,5.107
12.4,-0.522,4.781
12.5,-0.049,4.509
12.6,0.436,4.357
12.7,0.814,4.362
12.8,0.993,4.524
12.9,0.928,4.802
13,0.637,5.128
13.1,0.189,5.424
13.2,-0.305,5.615
13.3,-0.724,5.656
13.4,-0.966,5.536
13.5,-0.972,5.285
13.6,-0.739,4.964
13.7,-0.326,4.652
13.8,0.167,4.425
13.9,0.620,4.339
14,0.920,4.415
14.1,0.995,4.634
14.2,0.827,4.942
14.3,0.456,5.265
14.4,-0.027,5.523
14.5,-0.503,5.653
14.6,-0.856,5.623
14.7,-0.999,5.440
14.8,-0.898,5.150
14.9,-0.577,4.823
