Time(s),Input,Output_Displacement
3,0.968,4.731
3.1,0.989,5.041
3.2,0.855,5.345
3.3,0.585,5.594
3.4,0.223,5.750
3.5,-0.174,5.787
3.6,-0.544,5.701
3.7,-0.828,5.504
3.8,-0.981,5.227
3.9,-0.979,4.915
4,-0.823,4.616
4.1,-0.537,4.377
4.2,-0.166,4.237
4.3,0.232,4.217
4.4,0.592,4.321
4.5,0.859,4.532
4.6,0.991,4.817
4.7,0.966,5.131
4.8,0.788,5.424
4.9,0.486,5.650
5,0.108,5.774
5.1,-0.288,5.775
5.2,-0.638,5.654
5.3,-0.888,5.430
5.4,-0.997,5.138
5.5,-0.949,4.824
5.6,-0.751,4.538
5.7,-0.435,4.325
5.8,-0.050,4.218
5.9,0.343,4.235
5.99999999999999,0.682,4.373
6.09999999999999,0.913,4.610
6.19999999999999,1.000,4.908
6.29999999999999,0.929,5.221
6.39999999999999,0.711,5.499
6.49999999999999,0.381,5.698
6.59999999999999,-0.009,5.787
6.69999999999999,-0.398,5.752
6.79999999999999,-0.723,5.598
6.89999999999999,-0.935,5.350
6.99999999999999,-0.999,5.046
7.09999999999999,-0.906,4.735
7.19999999999999,-0.669,4.466
7.29999999999999,-0.327,4.282
7.39999999999999,0.067,4.210
7.49999999999999,0.450,4.264
7.59999999999999,0.763,4.433
7.69999999999999,0.954,4.692
7.79999999999999,0.995,5.000
7.89999999999999,0.879,5.308
7.99999999999999,0.624,5.567
8.09999999999999,0.271,5.736
8.19999999999999,-0.125,5.790
8.29999999999999,-0.502,5.719
8.39999999999999,-0.799,5.534
8.49999999999999,-0.970,5.265
8.59999999999999,-0.988,4.954
8.69999999999999,-0.850,4.650
8.79999999999998,-0.578,4.402
8.89999999999998,-0.214,4.248
8.99999999999998,0.183,4.213
9.09999999999998,0.551,4.302
9.19999999999998,0.833,4.501
9.29999999999998,0.983,4.779
9.39999999999998,0.977,5.092
9.49999999999998,0.818,5.390
9.59999999999998,0.529,5.627
9.69999999999998,0.157,5.765
9.79999999999998,-0.240,5.782
9.89999999999998,-0.599,5.675
9.99999999999998,-0.864,5.462
10.1,-0.992,5.176
10.2,-0.963,4.862
10.3,-0.783,4.570
10.4,-0.479,4.346
10.5,-0.099,4.225
10.6,0.296,4.226
10.7,0.645,4.350
10.8,0.892,4.576
10.9,0.998,4.869
11,0.946,5.183
11.1,0.745,5.468
11.2,0.427,5.679
11.3,0.041,5.783
11.4,-0.352,5.763
11.5,-0.688,5.623
11.6,-0.917,5.384
11.7,-1.000,5.085
11.8,-0.925,4.773
11.9,-0.705,4.496
12,-0.373,4.299
12.1,0.018,4.212
12.2,0.406,4.250
12.3,0.730,4.407
12.4,0.938,4.657
12.5,0.999,4.961
12.6,0.902,5.271
12.7,0.662,5.539
12.8,0.318,5.721
12.9,-0.076,5.790
13,-0.458,5.734
13.1,-0.768,5.562
13.2,-0.957,5.301
13.3,-0.994,4.993
13.4,-0.875,4.686
13.5,-0.617,4.428
13.6,-0.262,4.261
13.7,0.134,4.210
13.8,0.509,4.284
13.9,0.804,4.471
14,0.972,4.742
14.1,0.987,5.053
14.2,0.845,5.356
14.3,0.570,5.602
14.4,0.206,5.754
14.5,-0.192,5.786
14.6,-0.559,5.695
14.7,-0.838,5.493
14.8,-0.984,5.214
14.9,-0.975,4.901
15,-0.813,4.604
15.1,-0.522,4.369
15.2,-0.148,4.233
15.3,0.249,4.219
15.4,0.606,4.328
15.5,0.868,4.543
15.6,0.993,4.831
15.7,0.961,5.145
15.8,0.777,5.436
15.9,0.471,5.658
16,0.090,5.776
16.1,-0.305,5.772
16.2,-0.652,5.646
16.3,-0.896,5.418
16.4,-0.998,5.124
16.5,-0.943,4.810
16.6,-0.739,4.527
16.7,-0.419,4.318
16.8,-0.032,4.216
16.9,0.360,4.239
17,0.695,4.381
17.1,0.920,4.622
17.2,1.000,4.922
17.3,0.922,5.234
17.4,0.699,5.510
17.5,0.365,5.704
17.6,-0.027,5.788
17.7,-0.414,5.748
17.8,-0.736,5.589
17.9,-0.941,5.337
18,-0.998,5.032
18.1,-0.898,4.722
18.2,-0.656,4.456
18.3,-0.310,4.276
18.4,0.085,4.210
18.5,0.466,4.269
18.6,0.774,4.443
18.7,0.959,4.705
18.8,0.993,5.014
18.9,0.871,5.320
19,0.610,5.576
19.1,0.254,5.741
19.2,-0.143,5.789
19.3,-0.517,5.713
19.4,-0.810,5.523
19.5,-0.974,5.252
19.6,-0.985,4.940
19.7,-0.841,4.638
19.8,-0.563,4.393
19.9,-0.197,4.244
20,0.200,4.214
20.1,0.566,4.309
20.2,0.842,4.512
20.3,0.986,4.793
20.4,0.973,5.106
20.5,0.807,5.402
20.6,0.514,5.635
20.7,0.139,5.768
20.8,-0.257,5.780
20.9,-0.613,5.668
21,-0.872,5.451
21.1,-0.994,5.163
21.2,-0.958,4.849
21.3,-0.772,4.559
21.4,-0.463,4.338
21.5,-0.081,4.222
