Time(s),Input(v),Output(v),Output(m)
0,2.493,0,0
0.1,5,0.015,0.026
0.2,5,0.05,0.089
0.3,5,0.11,0.194
0.4,5,0.194,0.341
0.5,5,0.302,0.529
0.6,5,0.433,0.759
0.7,5,0.587,1.03
0.8,5,0.765,1.341
0.9,5,0.965,1.693
1,5,1.189,2.085
1.1,5,1.435,2.517
1.2,5,1.704,2.989
1.3,5,1.995,3.5
1.4,5,2.308,4.049
1.5,5,2.644,4.638
1.6,5,3.001,5.265
1.7,5,3.38,5.931
1.8,5,3.781,6.634
1.9,5,4.204,7.375
2,5,4.647,8.153
2.1,5,5.112,8.969
2.2,5,5.598,9.821
2.3,5,6.105,10.711
2.4,5,6.633,11.636
2.5,5,7.181,12.598
2.6,5,7.749,13.596
2.7,5,8.338,14.629
2.8,5,8.948,15.697
2.9,5,9.577,16.801
3,5,10,17.94
3.1,5,10,19.113
3.2,5,10,20.321
3.3,5,10,21.563
3.4,5,10,22.839
3.5,5,10,24.149
3.6,5,10,25.492
3.7,5,10,26.868
3.8,5,10,28.277
3.9,5,10,29.719
4,5,10,31.194
4.1,5,10,32.701
4.2,5,10,34.24
4.3,5,10,35.811
4.4,5,10,37.414
4.5,5,10,39.048
4.6,5,10,40.713
4.7,5,10,42.409
4.8,5,10,44.136
4.9,5,10,45.894
5,5,10,47.681
5.1,5,10,49.499
5.2,5,10,51.347
5.3,5,10,53.225
5.4,5,10,55.132
5.5,5,10,57.069
5.6,5,10,59.034
5.7,5,10,61.029
5.8,5,10,63.052
5.9,5,10,65.104
6,5,10,67.184
6.1,5,10,69.292
6.2,5,10,71.428
6.3,5,10,73.591
6.4,5,10,75.783
6.5,5,10,78.001
6.6,5,10,80.247
6.7,5,10,82.519
6.8,5,10,84.819
6.9,5,10,87.145
7,5,10,89.497
7.1,5,10,91.876
7.2,5,10,94.28
7.3,5,10,96.711
7.4,5,10,99.167
7.5,5,10,101.648
7.6,5,10,104.155
7.7,5,10,106.687
7.8,5,10,109.244
7.9,5,10,111.826
8,5,10,114.432
8.1,5,10,117.063
8.2,5,10,119.718
8.3,5,10,122.397
8.4,5,10,125.1
8.5,5,10,127.827
8.6,5,10,130.577
8.7,5,10,133.351
8.8,5,10,136.148
8.9,5,10,138.968
9,5,10,141.811
9.1,5,10,144.677
9.2,5,10,147.565
9.3,5,10,150.476
9.4,5,10,153.41
9.5,5,10,156.365
9.6,5,10,159.343
9.7,5,10,162.342
9.8,5,10,165.363
9.9,5,10,168.405
10,5,10,171.469
10.1,5,10,174.555
10.2,5,10,177.661
10.3,5,10,180.788
10.4,5,10,183.936
10.5,5,10,187.105
10.6,5,10,190.294
10.7,5,10,193.504
10.8,5,10,196.733
10.9,5,10,199.983
11,5,10,203.253
11.1,5,10,206.543
11.2,5,10,209.852
11.3,5,10,213.181
11.4,5,10,216.529
11.5,5,10,219.897
11.6,5,10,223.283
11.7,5,10,226.689
11.8,5,10,230.113
11.9,5,10,233.557
12,5,10,237.018
12.1,5,10,240.499
12.2,5,10,243.997
12.3,5,10,247.514
12.4,5,10,251.049
12.5,5,10,254.602
12.6,5,10,258.173
12.7,5,10,261.761
12.8,5,10,265.367
12.9,5,10,268.991
13,5,10,272.632
13.1,5,10,276.29
13.2,5,10,279.965
13.3,5,10,283.657
13.4,5,10,287.366
13.5,5,10,291.092
13.6,5,10,294.834
13.7,5,10,298.593
13.8,5,10,302.369
13.9,5,10,306.16
14,5,10,309.968
14.1,5,10,313.792
14.2,5,10,317.632
14.3,5,10,321.487
14.4,5,10,325.359
14.5,5,10,329.246
14.6,5,10,333.148
14.7,5,10,337.066
14.8,5,10,340.999
14.9,5,10,344.948
15,5,10,348.911
15.1,5,10,352.89
15.2,5,10,356.883
15.3,5,10,360.891
15.4,5,10,364.914
15.5,5,10,368.951
15.6,5,10,373.003
15.7,5,10,377.069
15.8,5,10,381.149
15.9,5,10,385.244
16,5,10,389.353
16.1,5,10,393.475
16.2,5,10,397.612
16.3,5,10,401.762
16.4,5,10,405.926
16.5,5,10,410.103
16.6,5,10,414.294
16.7,5,10,418.498
16.8,5,10,422.716
16.9,5,10,426.947
17,5,10,431.191
17.1,5,10,435.448
17.2,5,10,439.718
17.3,5,10,444
17.4,5,10,448.296
17.5,5,10,452.604
17.6,5,10,456.925
17.7,5,10,461.258
17.8,5,10,465.604
17.9,5,10,469.962
18,5,10,474.332
18.1,5,10,478.714
18.2,5,10,483.108
18.3,5,10,487.515
18.4,5,10,491.933
18.5,5,10,496.363
18.6,5,10,500.805
18.7,5,10,505.258
18.8,5,10,509.723
18.9,5,10,514.199
19,5,10,518.687
19.1,5,10,523.186
19.2,5,10,527.697
19.3,5,10,532.218
19.4,5,10,536.751
19.5,5,10,541.295
19.6,5,10,545.849
19.7,5,10,550.415
19.8,5,10,554.991
19.9,5,10,559.578
20,5,10,564.176
20.1,5,10,568.784
20.2,5,10,573.402
20.3,5,10,578.031
20.4,5,10,582.671
20.5,5,10,587.32
20.6,5,10,591.98
20.7,5,10,596.65
20.8,5,10,601.33
20.9,5,10,606.02
21,5,10,610.72
21.1,5,10,615.43
21.2,5,10,620.149
21.3,5,10,624.878
21.4,5,10,629.617
21.5,5,10,634.366
21.6,5,10,639.124
21.7,5,10,643.891
21.8,5,10,648.668
21.9,5,10,653.454
22,5,10,658.249
22.1,5,10,663.053
22.2,5,10,667.867
22.3,5,10,672.69
22.4,5,10,677.521
22.5,5,10,682.362
22.6,5,10,687.211
22.7,5,10,692.07
22.8,5,10,696.936
22.9,5,10,701.812
23,5,10,706.696
23.1,5,10,711.589
23.2,5,10,716.491
23.3,5,10,721.4
23.4,5,10,726.318
23.5,5,10,731.245
23.6,5,10,736.18
23.7,5,10,741.123
23.8,5,10,746.074
23.9,5,10,751.033
24,5,10,756
24.1,5,10,760.975
24.2,5,10,765.958
24.3,5,10,770.949
24.4,5,10,775.948
24.5,5,10,780.955
24.6,5,10,785.969
24.7,5,10,790.991
24.8,5,10,796.02
24.9,5,10,801.058
25,5,10,806.102
25.1,5,10,811.154
25.2,5,10,816.214
25.3,5,10,821.28
25.4,5,10,826.354
25.5,5,10,831.436
25.6,5,10,836.524
25.7,5,10,841.62
25.8,5,10,846.722
25.9,5,10,851.832
26,5,10,856.949
26.1,5,10,862.072
26.2,5,10,867.203
26.3,5,10,872.34
26.4,5,10,877.484
26.5,5,10,882.635
26.6,5,10,887.793
26.7,5,10,892.957
26.8,5,10,898.128
26.9,5,10,903.306
27,5,10,908.489
