Time(s),Input(v),Output(v),Output(m)
8.79999999999998,2.522,0.000,0.000
8.89999999999998,2.522,0.000,0.000
8.99999999999998,2.512,0.000,0.000
9.09999999999998,2.522,0.000,0.000
9.19999999999998,2.522,0.000,0.000
9.29999999999998,2.512,0.000,0.000
9.39999999999998,2.522,0.000,0.000
9.49999999999998,2.512,0.000,0.000
9.59999999999998,2.512,0.000,0.000
9.69999999999998,2.522,0.000,0.000
9.79999999999998,2.522,0.000,0.000
9.89999999999998,2.522,0.000,0.000
9.99999999999998,2.522,0.001,0.001
10.1,2.522,0.001,0.002
10.2,2.522,0.002,0.004
10.3,2.512,0.003,0.006
10.4,2.522,0.004,0.008
10.5,2.512,0.006,0.010
10.6,2.522,0.007,0.013
10.7,2.512,0.009,0.016
10.8,2.512,0.011,0.019
10.9,2.512,0.013,0.022
11,2.522,0.015,0.026
11.1,2.512,0.017,0.030
11.2,2.512,0.019,0.034
11.3,2.512,0.022,0.038
11.4,2.512,0.024,0.043
11.5,2.512,0.027,0.047
11.6,2.522,0.030,0.052
11.7,2.522,0.033,0.057
11.8,2.522,0.036,0.063
11.9,2.522,0.039,0.068
12,2.522,0.043,0.075
12.1,2.512,0.046,0.081
12.2,2.522,0.050,0.088
12.3,2.522,0.054,0.095
12.4,2.522,0.058,0.102
12.5,2.512,0.063,0.110
12.6,2.522,0.067,0.118
12.7,2.522,0.072,0.126
12.8,2.512,0.077,0.134
12.9,2.522,0.081,0.143
13,2.512,0.087,0.152
13.1,2.512,0.092,0.161
13.2,2.512,0.097,0.170
13.3,2.522,0.102,0.180
13.4,2.512,0.108,0.189
13.5,2.512,0.114,0.199
13.6,2.512,0.119,0.209
13.7,2.512,0.125,0.219
13.8,2.512,0.131,0.230
13.9,2.512,0.137,0.240
14,2.512,0.143,0.250
14.1,2.512,0.149,0.261
14.2,2.512,0.155,0.272
14.3,2.512,0.161,0.283
14.4,2.522,0.168,0.294
14.5,2.512,0.174,0.305
14.6,2.522,0.181,0.317
14.7,2.512,0.187,0.329
14.8,2.512,0.194,0.341
14.9,2.512,0.201,0.353
15,2.522,0.208,0.365
15.1,2.522,0.215,0.378
15.2,2.512,0.222,0.390
15.3,2.512,0.230,0.403
15.4,2.512,0.237,0.416
15.5,2.522,0.245,0.429
15.6,2.512,0.252,0.443
15.7,2.512,0.260,0.456
15.8,2.512,0.268,0.470
15.9,2.512,0.276,0.484
16,2.512,0.284,0.498
16.1,2.522,0.292,0.512
16.2,2.512,0.300,0.526
16.3,2.512,0.308,0.541
16.4,2.512,0.316,0.555
16.5,2.512,0.325,0.570
16.6,2.512,0.333,0.584
16.7,2.522,0.342,0.599
16.8,2.512,0.350,0.614
16.9,2.512,0.359,0.630
17,2.512,0.368,0.645
17.1,2.512,0.376,0.660
17.2,2.512,0.385,0.676
17.3,2.512,0.394,0.692
17.4,2.512,0.403,0.707
17.5,2.512,0.412,0.723
17.6,2.512,0.421,0.739
17.7,2.522,0.431,0.755
17.8,2.512,0.440,0.772
17.9,2.512,0.449,0.788
18,2.512,0.459,0.805
18.1,2.512,0.468,0.821
18.2,2.522,0.478,0.838
18.3,2.512,0.487,0.855
18.4,2.512,0.497,0.872
18.5,2.512,0.507,0.889
18.6,2.512,0.517,0.906
18.7,2.512,0.526,0.924
18.8,2.512,0.536,0.941
18.9,2.512,0.546,0.959
19,2.512,0.556,0.976
19.1,2.512,0.567,0.994
19.2,2.512,0.577,1.012
19.3,2.512,0.587,1.030
19.4,2.512,0.597,1.048
19.5,2.522,0.607,1.066
19.6,2.512,0.618,1.084
19.7,2.512,0.628,1.102
19.8,2.512,0.639,1.121
19.9,2.512,0.649,1.139
20,2.512,0.660,1.158
20.1,2.512,0.671,1.177
20.2,2.512,0.681,1.195
20.3,2.512,0.692,1.214
20.4,2.512,0.703,1.233
20.5,2.512,0.714,1.252
20.6,2.512,0.725,1.271
20.7,2.512,0.736,1.291
20.8,2.512,0.747,1.310
20.9,2.512,0.758,1.329
21,2.512,0.769,1.349
21.1,2.512,0.780,1.368
21.2,2.512,0.791,1.388
21.3,2.512,0.802,1.407
21.4,2.512,0.813,1.427
21.5,2.512,0.825,1.447
21.6,2.512,0.836,1.467
21.7,2.512,0.847,1.487
21.8,2.512,0.859,1.507
21.9,2.512,0.870,1.527
22,2.522,0.882,1.547
22.1,2.512,0.893,1.567
22.2,2.512,0.905,1.588
22.3,2.512,0.917,1.608
22.4,2.512,0.928,1.629
22.5,2.512,0.940,1.650
22.6000000000001,2.512,0.952,1.670
22.7000000000001,2.512,0.964,1.691
22.8000000000001,2.512,0.976,1.712
22.9000000000001,2.512,0.988,1.733
23.0000000000001,2.512,1.000,1.754
23.1000000000001,2.512,1.012,1.775
23.2000000000001,2.512,1.024,1.796
23.3000000000001,2.522,1.036,1.817
23.4000000000001,2.512,1.048,1.839
23.5000000000001,2.512,1.060,1.860
23.6000000000001,2.512,1.073,1.882
23.7000000000001,2.512,1.085,1.903
23.8000000000001,2.512,1.097,1.925
23.9000000000001,2.512,1.110,1.947
24.0000000000001,2.512,1.122,1.969
24.1000000000001,2.512,1.135,1.990
24.2000000000001,2.512,1.147,2.012
24.3000000000001,2.512,1.160,2.034
24.4000000000001,2.512,1.172,2.056
24.5000000000001,2.512,1.185,2.078
24.6000000000001,2.512,1.197,2.101
24.7000000000001,2.512,1.210,2.123
24.8000000000001,2.512,1.223,2.145
24.9000000000001,2.512,1.235,2.167
25.0000000000001,2.512,1.248,2.190
25.1000000000001,2.512,1.261,2.212
25.2000000000001,2.512,1.274,2.235
25.3000000000001,2.512,1.287,2.257
25.4000000000001,2.512,1.299,2.280
25.5000000000001,2.512,1.312,2.302
25.6000000000001,2.512,1.325,2.325
25.7000000000001,2.512,1.338,2.348
25.8000000000001,2.512,1.351,2.371
25.9000000000001,2.512,1.364,2.393
26.0000000000001,2.512,1.377,2.416
26.1000000000001,2.512,1.390,2.439
26.2000000000001,2.512,1.404,2.462
26.3000000000001,2.512,1.417,2.485
26.4000000000001,2.512,1.430,2.508
26.5000000000001,2.512,1.443,2.532
26.6000000000001,2.512,1.456,2.555
26.7000000000001,2.512,1.470,2.578
26.8000000000001,2.512,1.483,2.601
26.9000000000001,2.512,1.496,2.625
27.0000000000001,2.512,1.509,2.648
27.1000000000001,2.512,1.523,2.672
27.2000000000001,2.512,1.536,2.695
27.3000000000001,2.512,1.550,2.719
27.4000000000001,2.512,1.563,2.742
27.5000000000001,2.512,1.577,2.766
27.6000000000001,2.512,1.590,2.790
27.7000000000001,2.512,1.604,2.813
27.8000000000001,2.512,1.617,2.837
27.9000000000001,2.512,1.631,2.861
28.0000000000001,2.512,1.644,2.885
28.1000000000001,2.512,1.658,2.909
28.2000000000001,2.512,1.672,2.933
28.3000000000001,2.512,1.685,2.957
28.4000000000001,2.512,1.699,2.981
28.5000000000001,2.512,1.713,3.005
28.6000000000001,2.512,1.727,3.029
28.7000000000001,2.512,1.740,3.053
28.8000000000001,2.512,1.754,3.077
28.9000000000001,2.512,1.768,3.102
29.0000000000001,2.512,1.782,3.126
29.1000000000001,2.512,1.796,3.150
29.2000000000001,2.512,1.810,3.175
29.3000000000001,2.503,1.824,3.199
29.4000000000001,2.512,1.837,3.223
29.5000000000001,2.512,1.851,3.248
29.6000000000002,2.512,1.865,3.272
29.7000000000002,2.512,1.879,3.297
29.8000000000002,2.512,1.893,3.321
29.9000000000002,2.512,1.907,3.346
30.0000000000002,2.512,1.921,3.370
30.1000000000002,2.512,1.935,3.395
30.2000000000002,2.512,1.949,3.419
30.3000000000002,2.512,1.963,3.444
30.4000000000002,2.512,1.977,3.469
30.5000000000002,2.512,1.991,3.494
30.6000000000002,2.512,2.005,3.518
30.7000000000002,2.512,2.020,3.543
30.8000000000002,2.512,2.034,3.568
30.9000000000002,2.503,2.048,3.593
31.0000000000002,2.512,2.062,3.618
31.1000000000002,2.512,2.076,3.642
31.2000000000002,2.512,2.090,3.667
31.3000000000002,2.512,2.105,3.692
31.4000000000002,2.512,2.119,3.717
31.5000000000002,2.512,2.133,3.742
31.6000000000002,2.512,2.147,3.767
31.7000000000002,2.512,2.162,3.792
31.8000000000002,2.512,2.176,3.817
31.9000000000002,2.512,2.190,3.842
32.0000000000002,2.512,2.204,3.868
32.1000000000002,2.503,2.219,3.893
32.2000000000002,2.512,2.233,3.918
32.3000000000002,2.512,2.247,3.943
32.4000000000002,2.512,2.262,3.968
32.5000000000002,2.503,2.276,3.993
32.6000000000002,2.512,2.290,4.018
32.7000000000002,2.503,2.305,4.043
32.8000000000002,2.512,2.319,4.068
32.9000000000002,2.512,2.333,4.093
33.0000000000002,2.512,2.347,4.118
33.1000000000002,2.512,2.362,4.143
33.2000000000002,2.512,2.376,4.168
33.3000000000002,2.503,2.390,4.193
33.4000000000002,2.503,2.405,4.218
33.5000000000002,2.512,2.419,4.243
33.6000000000002,2.512,2.433,4.268
33.7000000000002,2.503,2.447,4.293
33.8000000000002,2.503,2.461,4.318
33.9000000000002,2.512,2.475,4.343
34.0000000000002,2.503,2.489,4.367
34.1000000000002,2.503,2.503,4.392
34.2000000000002,2.503,2.517,4.416
34.3000000000002,2.512,2.531,4.441
34.4000000000002,2.503,2.545,4.465
34.5000000000002,2.503,2.559,4.489
34.6000000000002,2.512,2.573,4.514
34.7000000000002,2.512,2.586,4.538
34.8000000000002,2.512,2.600,4.562
34.9000000000002,2.512,2.614,4.586
35.0000000000002,2.512,2.628,4.610
35.1000000000002,2.512,2.642,4.635
35.2000000000002,2.503,2.656,4.659
35.3000000000002,2.512,2.670,4.683
35.4000000000002,2.512,2.683,4.708
35.5000000000002,2.512,2.697,4.732
35.6000000000002,2.512,2.711,4.756
35.7000000000002,2.503,2.725,4.781
35.8000000000002,2.503,2.739,4.805
35.9000000000002,2.503,2.753,4.829
36.0000000000002,2.512,2.766,4.853
36.1000000000002,2.503,2.780,4.878
36.2000000000002,2.503,2.794,4.901
36.3000000000002,2.503,2.807,4.925
36.4000000000002,2.503,2.821,4.949
36.5000000000002,2.503,2.834,4.973
36.6000000000003,2.512,2.848,4.996
36.7000000000003,2.503,2.861,5.020
36.8000000000003,2.503,2.875,5.043
36.9000000000003,2.503,2.888,5.066
37.0000000000003,2.503,2.901,5.090
37.1000000000003,2.512,2.914,5.113
37.2000000000003,2.512,2.927,5.136
37.3000000000003,2.503,2.941,5.159
37.4000000000003,2.512,2.954,5.182
37.5000000000003,2.503,2.967,5.205
37.6000000000003,2.503,2.980,5.228
37.7000000000003,2.512,2.993,5.251
37.8000000000003,2.503,3.006,5.274
37.9000000000003,2.503,3.019,5.297
38.0000000000003,2.503,3.032,5.319
38.1000000000003,2.503,3.045,5.342
38.2000000000003,2.512,3.058,5.364
38.3000000000003,2.503,3.070,5.387
38.4000000000003,2.503,3.083,5.409
38.5000000000003,2.503,3.096,5.431
38.6000000000003,2.503,3.109,5.454
38.7000000000003,2.503,3.121,5.476
38.8000000000003,2.503,3.134,5.498
38.9000000000003,2.512,3.146,5.519
39.0000000000003,2.503,3.159,5.541
39.1000000000003,2.503,3.171,5.563
39.2000000000003,2.503,3.183,5.585
39.3000000000003,2.503,3.196,5.606
39.4000000000003,2.503,3.208,5.628
39.5000000000003,2.503,3.220,5.649
39.6000000000003,2.503,3.232,5.671
39.7000000000003,2.503,3.244,5.692
39.8000000000003,2.503,3.256,5.713
39.9000000000003,2.503,3.268,5.734
40.0000000000003,2.512,3.280,5.755
40.1000000000003,2.503,3.292,5.775
40.2000000000003,2.503,3.304,5.796
40.3000000000003,2.503,3.316,5.817
40.4000000000003,2.503,3.327,5.838
40.5000000000003,2.503,3.339,5.858
40.6000000000003,2.503,3.351,5.878
40.7000000000003,2.512,3.362,5.899
40.8000000000003,2.503,3.374,5.919
40.9000000000003,2.503,3.386,5.939
41.0000000000003,2.503,3.397,5.960
41.1000000000003,2.503,3.408,5.980
41.2000000000003,2.503,3.420,6.000
41.3000000000003,2.503,3.431,6.020
41.4000000000003,2.503,3.443,6.039
41.5000000000003,2.503,3.454,6.059
41.6000000000003,2.503,3.465,6.079
41.7000000000003,2.503,3.476,6.098
41.8000000000003,2.512,3.487,6.118
41.9000000000003,2.503,3.498,6.137
42.0000000000003,2.503,3.509,6.157
42.1000000000003,2.503,3.520,6.176
42.2000000000003,2.503,3.531,6.195
42.3000000000003,2.503,3.542,6.214
42.4000000000003,2.503,3.553,6.233
42.5000000000003,2.493,3.564,6.252
42.6000000000003,2.503,3.575,6.271
42.7000000000003,2.503,3.585,6.290
42.8000000000003,2.503,3.596,6.308
42.9000000000003,2.503,3.606,6.327
43.0000000000003,2.503,3.617,6.345
43.1000000000003,2.503,3.627,6.363
43.2000000000003,2.503,3.638,6.382
43.3000000000003,2.512,3.648,6.400
43.4000000000003,2.503,3.658,6.418
43.5000000000003,2.503,3.669,6.436
43.6000000000003,2.503,3.679,6.454
43.7000000000004,2.503,3.689,6.472
43.8000000000004,2.503,3.699,6.490
43.9000000000004,2.493,3.709,6.508
44.0000000000004,2.503,3.719,6.525
44.1000000000004,2.503,3.729,6.543
44.2000000000004,2.512,3.739,6.560
44.3000000000004,2.503,3.749,6.578
44.4000000000004,2.503,3.759,6.595
44.5000000000004,2.503,3.769,6.612
