Time(s),Input(v),Output(v),Output(m)
3.8,2.522,0.008,0.015
3.9,2.512,0.010,0.018
4,2.512,0.012,0.021
4.1,2.522,0.014,0.025
4.2,2.512,0.017,0.029
4.3,2.522,0.019,0.034
4.4,2.522,0.022,0.038
4.5,2.522,0.025,0.043
4.6,2.522,0.028,0.048
4.7,2.512,0.031,0.054
4.8,2.522,0.034,0.060
4.9,2.522,0.038,0.066
5,2.512,0.041,0.072
5.1,2.522,0.045,0.079
5.2,2.512,0.049,0.086
5.3,2.522,0.053,0.093
5.4,2.512,0.057,0.101
5.5,2.512,0.062,0.108
5.6,2.522,0.066,0.116
5.7,2.522,0.071,0.124
5.8,2.522,0.076,0.133
5.9,2.512,0.081,0.141
5.99999999999999,2.512,0.086,0.150
6.09999999999999,2.512,0.091,0.159
6.19999999999999,2.512,0.096,0.169
6.29999999999999,2.512,0.101,0.178
6.39999999999999,2.522,0.107,0.188
6.49999999999999,2.522,0.112,0.197
6.59999999999999,2.522,0.118,0.207
6.69999999999999,2.522,0.124,0.218
6.79999999999999,2.512,0.130,0.229
6.89999999999999,2.512,0.137,0.239
6.99999999999999,2.522,0.143,0.250
7.09999999999999,2.522,0.149,0.262
7.19999999999999,2.522,0.156,0.273
7.29999999999999,2.522,0.163,0.285
7.39999999999999,2.512,0.170,0.298
7.49999999999999,2.512,0.177,0.310
7.59999999999999,2.512,0.184,0.322
7.69999999999999,2.522,0.191,0.335
7.79999999999999,2.522,0.198,0.348
7.89999999999999,2.522,0.206,0.361
7.99999999999999,2.522,0.213,0.374
8.09999999999999,2.512,0.221,0.388
8.19999999999999,2.512,0.229,0.402
8.29999999999999,2.522,0.237,0.416
8.39999999999999,2.522,0.245,0.430
8.49999999999999,2.522,0.253,0.445
8.59999999999999,2.522,0.262,0.459
8.69999999999999,2.522,0.270,0.475
8.79999999999998,2.522,0.279,0.490
8.89999999999998,2.512,0.288,0.505
8.99999999999998,2.522,0.297,0.521
9.09999999999998,2.512,0.306,0.537
9.19999999999998,2.522,0.315,0.553
9.29999999999998,2.512,0.325,0.570
9.39999999999998,2.512,0.334,0.586
9.49999999999998,2.512,0.344,0.603
9.59999999999998,2.512,0.353,0.619
9.69999999999998,2.512,0.363,0.636
9.79999999999998,2.512,0.372,0.653
9.89999999999998,2.512,0.382,0.670
9.99999999999998,2.522,0.391,0.687
10.1,2.512,0.401,0.704
10.2,2.512,0.411,0.721
10.3,2.512,0.421,0.739
10.4,2.512,0.431,0.757
10.5,2.512,0.441,0.774
10.6,2.512,0.451,0.792
10.7,2.512,0.462,0.810
10.8,2.512,0.472,0.828
10.9,2.512,0.482,0.846
11,2.512,0.492,0.864
11.1,2.512,0.503,0.882
11.2,2.512,0.513,0.900
11.3,2.512,0.524,0.918
11.4,2.522,0.534,0.937
11.5,2.512,0.545,0.956
11.6,2.522,0.555,0.974
11.7,2.512,0.566,0.993
11.8,2.512,0.577,1.012
11.9,2.512,0.588,1.031
12,2.512,0.599,1.051
12.1,2.512,0.610,1.070
12.2,2.512,0.621,1.089
12.3,2.522,0.632,1.109
12.4,2.512,0.643,1.129
12.5,2.512,0.655,1.148
12.6,2.512,0.666,1.168
12.7,2.512,0.677,1.188
12.8,2.512,0.689,1.208
12.9,2.512,0.700,1.228
13,2.512,0.712,1.248
13.1,2.522,0.723,1.269
13.2,2.512,0.735,1.289
13.3,2.522,0.746,1.310
13.4,2.512,0.758,1.330
13.5,2.512,0.770,1.351
13.6,2.512,0.782,1.372
13.7,2.512,0.794,1.393
13.8,2.512,0.806,1.414
13.9,2.512,0.818,1.435
14,2.512,0.830,1.456
14.1,2.512,0.842,1.477
14.2,2.512,0.854,1.499
14.3,2.512,0.866,1.520
14.4,2.512,0.879,1.541
14.5,2.512,0.891,1.563
14.6,2.512,0.903,1.584
14.7,2.512,0.915,1.606
14.8,2.512,0.928,1.628
14.9,2.512,0.940,1.649
15,2.512,0.953,1.671
15.1,2.512,0.965,1.693
15.2,2.512,0.977,1.715
15.3,2.512,0.990,1.737
15.4,2.512,1.002,1.759
15.5,2.512,1.015,1.781
15.6,2.512,1.028,1.803
15.7,2.512,1.040,1.825
15.8,2.512,1.053,1.847
15.9,2.512,1.066,1.870
16,2.512,1.078,1.892
16.1,2.512,1.091,1.914
16.2,2.512,1.104,1.937
16.3,2.512,1.117,1.959
16.4,2.512,1.130,1.982
16.5,2.512,1.143,2.005
16.6,2.512,1.156,2.027
16.7,2.512,1.168,2.050
16.8,2.512,1.181,2.073
16.9,2.512,1.194,2.096
17,2.512,1.207,2.118
17.1,2.512,1.221,2.141
17.2,2.512,1.234,2.164
17.3,2.512,1.247,2.187
17.4,2.512,1.260,2.210
17.5,2.512,1.273,2.234
17.6,2.512,1.286,2.257
17.7,2.512,1.300,2.280
17.8,2.512,1.313,2.303
17.9,2.512,1.326,2.327
18,2.512,1.340,2.350
18.1,2.512,1.353,2.373
18.2,2.512,1.366,2.397
18.3,2.512,1.380,2.420
18.4,2.512,1.393,2.444
18.5,2.512,1.407,2.468
18.6,2.512,1.420,2.491
18.7,2.512,1.434,2.515
18.8,2.512,1.447,2.539
18.9,2.512,1.461,2.563
19,2.512,1.474,2.587
19.1,2.512,1.488,2.610
19.2,2.512,1.502,2.634
19.3,2.512,1.515,2.658
19.4,2.512,1.529,2.682
19.5,2.512,1.543,2.706
19.6,2.512,1.556,2.731
19.7,2.512,1.570,2.755
19.8,2.512,1.584,2.779
19.9,2.512,1.598,2.803
20,2.512,1.612,2.827
20.1,2.512,1.626,2.852
20.2,2.512,1.639,2.876
20.3,2.512,1.653,2.901
20.4,2.512,1.667,2.925
20.5,2.503,1.681,2.950
20.6,2.512,1.695,2.974
20.7,2.512,1.709,2.998
20.8,2.512,1.723,3.023
20.9,2.512,1.737,3.047
21,2.522,1.751,3.072
21.1,2.512,1.765,3.097
21.2,2.512,1.779,3.121
21.3,2.512,1.793,3.146
