Time(s),Input(v),Output(v),Output(m)
2.7,2.522,0.000,0.000
2.8,2.522,0.000,0.000
2.9,2.522,0.000,0.000
3,2.522,0.000,0.000
3.1,2.522,0.000,0.000
3.2,2.522,0.000,0.000
3.3,2.522,0.000,0.000
3.4,2.522,0.000,0.000
3.5,2.522,0.000,0.000
3.6,2.522,0.000,0.000
3.7,2.512,0.000,0.000
3.8,2.512,0.000,0.000
3.9,2.522,0.000,0.000
4,2.522,0.000,0.000
4.1,2.512,0.000,0.000
4.2,2.522,0.000,0.000
4.3,2.512,0.000,0.000
4.4,2.512,0.000,0.000
4.5,2.522,0.000,0.000
4.6,2.512,0.000,0.000
4.7,2.522,0.000,0.000
4.8,2.522,0.000,0.000
4.9,2.522,0.000,0.000
5,2.522,0.000,0.000
5.1,2.512,0.000,0.000
5.2,2.522,0.000,0.000
5.3,2.512,0.000,0.000
5.4,2.512,0.000,0.000
5.5,2.522,0.000,0.000
5.6,2.522,0.000,0.000
5.7,2.512,0.000,0.000
5.8,2.512,0.000,0.000
5.9,2.512,0.000,0.000
5.99999999999999,2.512,0.000,0.000
6.09999999999999,2.522,0.000,0.000
6.19999999999999,2.522,0.000,0.000
6.29999999999999,2.522,0.000,0.000
6.39999999999999,2.522,0.000,0.000
6.49999999999999,2.522,0.000,0.000
6.59999999999999,2.522,0.000,0.000
6.69999999999999,2.522,0.000,0.000
6.79999999999999,2.512,0.000,0.000
6.89999999999999,2.512,0.000,0.000
6.99999999999999,2.522,0.000,0.000
7.09999999999999,2.522,0.000,0.000
7.19999999999999,2.522,0.000,0.000
7.29999999999999,2.512,0.000,0.000
7.39999999999999,2.522,0.000,0.000
7.49999999999999,2.522,0.000,0.000
7.59999999999999,2.512,0.000,0.000
7.69999999999999,2.522,0.000,0.000
7.79999999999999,2.522,0.000,0.000
7.89999999999999,2.522,0.000,0.000
7.99999999999999,2.522,0.000,0.000
8.09999999999999,2.522,0.000,0.000
8.19999999999999,2.512,0.000,0.000
8.29999999999999,2.512,0.000,0.000
8.39999999999999,2.522,0.000,0.000
8.49999999999999,2.512,0.000,0.000
8.59999999999999,2.522,0.000,0.000
8.69999999999999,2.522,0.000,0.000
8.79999999999998,2.512,0.000,0.000
8.89999999999998,2.522,0.000,0.000
8.99999999999998,2.512,0.000,0.000
9.09999999999998,2.512,0.000,0.000
9.19999999999998,2.512,0.000,0.000
9.29999999999998,2.522,0.000,0.001
9.39999999999998,2.522,0.001,0.001
9.49999999999998,2.522,0.001,0.003
9.59999999999998,2.522,0.002,0.004
9.69999999999998,2.522,0.003,0.006
9.79999999999998,2.512,0.005,0.008
9.89999999999998,2.512,0.006,0.011
9.99999999999998,2.522,0.008,0.013
10.1,2.512,0.009,0.016
10.2,2.522,0.011,0.020
10.3,2.522,0.013,0.023
10.4,2.512,0.015,0.027
10.5,2.512,0.018,0.031
10.6,2.522,0.020,0.036
10.7,2.522,0.023,0.040
10.8,2.522,0.026,0.045
10.9,2.512,0.029,0.051
11,2.522,0.032,0.056
11.1,2.522,0.035,0.062
11.2,2.522,0.039,0.068
11.3,2.522,0.043,0.075
11.4,2.522,0.046,0.081
11.5,2.522,0.050,0.089
11.6,2.512,0.055,0.096
11.7,2.522,0.059,0.104
11.8,2.512,0.064,0.112
11.9,2.522,0.068,0.120
12,2.522,0.073,0.128
12.1,2.522,0.078,0.137
12.2,2.512,0.083,0.146
12.3,2.512,0.089,0.156
12.4,2.522,0.094,0.165
12.5,2.522,0.100,0.175
12.6,2.522,0.105,0.185
12.7,2.512,0.111,0.195
12.8,2.512,0.117,0.205
12.9,2.512,0.123,0.216
13,2.512,0.129,0.227
13.1,2.522,0.135,0.238
13.2,2.512,0.142,0.249
13.3,2.512,0.148,0.260
13.4,2.512,0.155,0.272
13.5,2.512,0.161,0.283
13.6,2.512,0.168,0.295
13.7,2.512,0.175,0.307
13.8,2.512,0.182,0.319
13.9,2.522,0.189,0.331
14,2.522,0.196,0.343
14.1,2.512,0.203,0.356
14.2,2.512,0.210,0.369
14.3,2.512,0.218,0.382
14.4,2.522,0.225,0.395
14.5,2.512,0.233,0.408
14.6,2.522,0.240,0.422
14.7,2.512,0.248,0.435
14.8,2.512,0.256,0.449
14.9,2.512,0.264,0.463
15,2.512,0.272,0.477
15.1,2.522,0.280,0.491
15.2,2.512,0.288,0.506
15.3,2.512,0.297,0.521
15.4,2.522,0.305,0.535
15.5,2.522,0.314,0.550
15.6,2.512,0.322,0.565
15.7,2.522,0.331,0.581
15.8,2.512,0.340,0.596
15.9,2.512,0.349,0.612
16,2.512,0.358,0.628
16.1,2.512,0.367,0.644
16.2,2.512,0.376,0.660
16.3,2.512,0.385,0.676
16.4,2.512,0.395,0.692
16.5,2.512,0.404,0.709
16.6,2.512,0.413,0.725
16.7,2.512,0.423,0.742
16.8,2.522,0.432,0.758
16.9,2.522,0.442,0.775
17,2.512,0.452,0.792
17.1,2.512,0.461,0.810
17.2,2.522,0.471,0.827
17.3,2.512,0.481,0.844
17.4,2.512,0.491,0.862
17.5,2.512,0.502,0.880
17.6,2.512,0.512,0.898
17.7,2.512,0.522,0.916
17.8,2.512,0.532,0.934
17.9,2.512,0.543,0.952
18,2.512,0.553,0.970
18.1,2.522,0.563,0.988
18.2,2.512,0.574,1.007
18.3,2.512,0.584,1.025
18.4,2.512,0.595,1.044
18.5,2.512,0.606,1.063
18.6,2.522,0.617,1.082
18.7,2.512,0.627,1.101
18.8,2.512,0.638,1.120
18.9,2.512,0.649,1.139
19,2.512,0.660,1.159
19.1,2.512,0.671,1.178
19.2,2.512,0.683,1.197
19.3,2.512,0.694,1.217
19.4,2.512,0.705,1.237
