Time(s),Input(v),Output(v),Output(m)
5,2.522,0.000,0.000
5.1,2.522,0.000,0.000
5.2,2.512,0.000,0.000
5.3,2.512,0.000,0.000
5.4,2.522,0.000,0.000
5.5,2.512,0.000,0.000
5.6,2.522,0.000,0.000
5.7,2.522,0.000,0.000
5.8,2.522,0.000,0.000
5.9,2.512,0.000,0.000
5.99999999999999,2.522,0.000,0.000
6.09999999999999,2.522,0.000,0.000
6.19999999999999,2.522,0.000,0.000
6.29999999999999,2.512,0.000,0.000
6.39999999999999,2.512,0.000,0.000
6.49999999999999,2.522,0.000,0.001
6.59999999999999,2.522,0.001,0.001
6.69999999999999,2.512,0.001,0.003
6.79999999999999,2.522,0.002,0.004
6.89999999999999,2.522,0.003,0.006
6.99999999999999,2.522,0.004,0.008
7.09999999999999,2.512,0.006,0.010
7.19999999999999,2.522,0.007,0.013
7.29999999999999,2.512,0.009,0.016
7.39999999999999,2.512,0.011,0.019
7.49999999999999,2.522,0.013,0.023
7.59999999999999,2.522,0.015,0.026
7.69999999999999,2.512,0.017,0.030
7.79999999999999,2.512,0.020,0.035
7.89999999999999,2.512,0.022,0.039
7.99999999999999,2.512,0.025,0.044
8.09999999999999,2.522,0.028,0.049
8.19999999999999,2.522,0.031,0.054
8.29999999999999,2.522,0.034,0.059
8.39999999999999,2.522,0.037,0.065
8.49999999999999,2.512,0.041,0.072
8.59999999999999,2.512,0.044,0.078
8.69999999999999,2.522,0.048,0.084
8.79999999999998,2.522,0.052,0.091
8.89999999999998,2.512,0.056,0.098
8.99999999999998,2.512,0.060,0.106
9.09999999999998,2.512,0.065,0.113
9.19999999999998,2.512,0.069,0.121
9.29999999999998,2.512,0.073,0.129
9.39999999999998,2.522,0.078,0.137
9.49999999999998,2.522,0.083,0.145
9.59999999999998,2.522,0.088,0.154
9.69999999999998,2.522,0.093,0.163
9.79999999999998,2.522,0.098,0.172
9.89999999999998,2.512,0.104,0.182
9.99999999999998,2.522,0.109,0.191
10.1,2.512,0.115,0.201
10.2,2.512,0.121,0.212
10.3,2.522,0.126,0.222
10.4,2.522,0.133,0.233
10.5,2.522,0.139,0.243
10.6,2.512,0.145,0.255
10.7,2.512,0.152,0.266
10.8,2.522,0.158,0.278
10.9,2.522,0.165,0.289
11,2.522,0.172,0.301
11.1,2.512,0.179,0.314
11.2,2.512,0.186,0.326
11.3,2.512,0.193,0.339
11.4,2.512,0.201,0.352
11.5,2.512,0.208,0.365
11.6,2.512,0.215,0.378
11.7,2.512,0.223,0.391
11.8,2.522,0.230,0.404
11.9,2.512,0.238,0.418
12,2.512,0.246,0.431
12.1,2.512,0.254,0.445
12.2,2.512,0.262,0.459
12.3,2.512,0.270,0.473
12.4,2.522,0.278,0.487
12.5,2.522,0.286,0.501
12.6,2.512,0.294,0.516
12.7,2.522,0.303,0.531
12.8,2.512,0.311,0.546
12.9,2.512,0.320,0.561
13,2.512,0.328,0.576
13.1,2.512,0.337,0.592
13.2,2.512,0.346,0.607
13.3,2.512,0.355,0.623
13.4,2.522,0.364,0.638
13.5,2.522,0.373,0.654
13.6,2.522,0.382,0.671
13.7,2.522,0.392,0.687
13.8,2.512,0.401,0.704
13.9,2.512,0.411,0.721
14,2.512,0.420,0.738
14.1,2.512,0.430,0.755
14.2,2.522,0.440,0.772
14.3,2.512,0.450,0.789
14.4,2.512,0.460,0.807
14.5,2.512,0.470,0.824
14.6,2.512,0.480,0.842
14.7,2.512,0.490,0.859
14.8,2.512,0.500,0.877
14.9,2.512,0.510,0.895
15,2.512,0.521,0.913
15.1,2.512,0.531,0.931
15.2,2.512,0.541,0.949
15.3,2.522,0.552,0.968
15.4,2.512,0.562,0.986
15.5,2.512,0.573,1.005
15.6,2.512,0.583,1.023
15.7,2.512,0.594,1.042
15.8,2.512,0.605,1.061
15.9,2.512,0.616,1.080
16,2.512,0.626,1.099
16.1,2.512,0.637,1.118
16.2,2.512,0.648,1.137
16.3,2.512,0.659,1.156
16.4,2.512,0.670,1.176
16.5,2.512,0.681,1.195
16.6,2.512,0.692,1.215
16.7,2.512,0.703,1.234
16.8,2.512,0.715,1.254
16.9,2.512,0.726,1.273
17,2.512,0.737,1.293
17.1,2.512,0.748,1.313
17.2,2.512,0.760,1.333
17.3,2.512,0.771,1.353
17.4,2.512,0.783,1.373
17.5,2.512,0.794,1.393
17.6,2.512,0.806,1.413
17.7,2.512,0.817,1.433
17.8,2.512,0.829,1.454
17.9,2.522,0.840,1.474
18,2.512,0.852,1.495
18.1,2.512,0.864,1.516
18.2,2.512,0.876,1.536
18.3,2.512,0.888,1.557
18.4,2.512,0.899,1.578
18.5,2.512,0.911,1.599
18.6,2.512,0.923,1.620
18.7,2.512,0.935,1.641
18.8,2.512,0.948,1.662
18.9,2.512,0.960,1.684
19,2.512,0.972,1.705
19.1,2.512,0.984,1.726
19.2,2.512,0.996,1.748
19.3,2.512,1.008,1.769
19.4,2.512,1.021,1.791
19.5,2.512,1.033,1.812
19.6,2.512,1.045,1.834
19.7,2.512,1.058,1.856
19.8,2.512,1.070,1.877
19.9,2.512,1.083,1.899
20,2.512,1.095,1.921
20.1,2.512,1.108,1.943
20.2,2.512,1.120,1.965
20.3,2.512,1.133,1.987
20.4,2.512,1.145,2.009
20.5,2.512,1.158,2.032
20.6,2.512,1.171,2.054
20.7,2.512,1.183,2.076
20.8,2.512,1.196,2.098
20.9,2.512,1.209,2.121
21,2.512,1.222,2.143
21.1,2.512,1.235,2.166
21.2,2.512,1.247,2.188
21.3,2.512,1.260,2.211
21.4,2.512,1.273,2.234
21.5,2.512,1.286,2.256
21.6,2.512,1.299,2.279
21.7,2.512,1.312,2.302
21.8,2.512,1.325,2.325
21.9,2.512,1.338,2.348
22,2.512,1.351,2.371
22.1,2.512,1.365,2.394
22.2,2.512,1.378,2.417
22.3,2.512,1.391,2.440
22.4,2.512,1.404,2.463
22.5,2.503,1.417,2.487
22.6000000000001,2.512,1.431,2.510
22.7000000000001,2.512,1.444,2.533
22.8000000000001,2.512,1.457,2.556
22.9000000000001,2.512,1.470,2.580
23.0000000000001,2.512,1.484,2.603
23.1000000000001,2.512,1.497,2.626
23.2000000000001,2.512,1.510,2.650
23.3000000000001,2.512,1.524,2.673
23.4000000000001,2.512,1.537,2.697
23.5000000000001,2.512,1.551,2.720
23.6000000000001,2.512,1.564,2.744
23.7000000000001,2.512,1.578,2.768
23.8000000000001,2.512,1.591,2.791
23.9000000000001,2.512,1.605,2.815
24.0000000000001,2.512,1.618,2.839
24.1000000000001,2.512,1.632,2.863
24.2000000000001,2.512,1.645,2.887
24.3000000000001,2.512,1.659,2.911
24.4000000000001,2.512,1.673,2.935
24.5000000000001,2.512,1.686,2.959
24.6000000000001,2.512,1.700,2.983
24.7000000000001,2.503,1.714,3.007
24.8000000000001,2.512,1.728,3.031
24.9000000000001,2.512,1.741,3.055
25.0000000000001,2.512,1.755,3.079
25.1000000000001,2.512,1.769,3.103
25.2000000000001,2.512,1.782,3.127
25.3000000000001,2.503,1.796,3.151
25.4000000000001,2.512,1.810,3.175
25.5000000000001,2.512,1.824,3.200
25.6000000000001,2.512,1.838,3.224
25.7000000000001,2.512,1.851,3.248
25.8000000000001,2.512,1.865,3.272
25.9000000000001,2.512,1.879,3.296
26.0000000000001,2.512,1.893,3.321
26.1000000000001,2.512,1.907,3.345
26.2000000000001,2.503,1.921,3.370
26.3000000000001,2.512,1.935,3.394
26.4000000000001,2.512,1.948,3.418
26.5000000000001,2.512,1.962,3.443
26.6000000000001,2.512,1.976,3.467
26.7000000000001,2.512,1.990,3.492
26.8000000000001,2.512,2.004,3.516
26.9000000000001,2.512,2.018,3.541
27.0000000000001,2.512,2.032,3.565
27.1000000000001,2.512,2.046,3.590
27.2000000000001,2.503,2.060,3.614
27.3000000000001,2.503,2.074,3.639
27.4000000000001,2.512,2.088,3.663
27.5000000000001,2.512,2.102,3.688
27.6000000000001,2.512,2.116,3.712
27.7000000000001,2.512,2.130,3.737
27.8000000000001,2.512,2.144,3.761
27.9000000000001,2.512,2.158,3.786
28.0000000000001,2.503,2.172,3.811
28.1000000000001,2.512,2.186,3.835
28.2000000000001,2.503,2.200,3.860
28.3000000000001,2.512,2.214,3.884
28.4000000000001,2.512,2.228,3.909
28.5000000000001,2.503,2.242,3.933
28.6000000000001,2.503,2.256,3.958
28.7000000000001,2.503,2.270,3.982
28.8000000000001,2.503,2.283,4.006
28.9000000000001,2.512,2.297,4.030
29.0000000000001,2.512,2.311,4.054
29.1000000000001,2.522,2.325,4.078
29.2000000000001,2.512,2.338,4.103
29.3000000000001,2.512,2.352,4.127
29.4000000000001,2.503,2.366,4.151
29.5000000000001,2.503,2.380,4.176
29.6000000000002,2.512,2.394,4.200
29.7000000000002,2.503,2.408,4.224
29.8000000000002,2.512,2.421,4.248
29.9000000000002,2.512,2.435,4.272
30.0000000000002,2.512,2.449,4.296
30.1000000000002,2.512,2.463,4.321
30.2000000000002,2.512,2.477,4.345
