Time(s),Input(v),Output(v),Output(m)
2.9,2.512,0.000,0.000
3,2.503,0.000,0.000
3.1,2.512,0.000,0.000
3.2,2.503,0.000,0.000
3.3,2.512,0.000,0.000
3.4,2.503,0.000,0.000
3.5,2.512,0.000,0.000
3.6,2.503,0.000,0.000
3.7,2.503,0.000,0.000
3.8,2.512,0.000,0.000
3.9,2.512,0.000,0.000
4,2.512,0.000,0.000
4.1,2.512,0.000,0.000
4.2,2.512,0.000,0.000
4.3,2.512,0.000,0.000
4.4,2.512,0.000,0.000
4.5,2.503,0.000,0.000
4.6,2.512,0.000,0.000
4.7,2.512,0.000,0.000
4.8,2.512,0.000,0.000
4.9,2.512,0.000,0.000
5,2.512,0.000,0.000
5.1,2.503,0.000,0.000
5.2,2.503,0.000,0.000
5.3,2.512,0.000,0.000
5.4,2.503,0.000,0.000
5.5,2.512,0.000,0.000
5.6,2.512,0.000,0.000
5.7,2.512,0.000,0.000
5.8,2.512,0.000,0.000
5.9,2.512,0.000,0.000
5.99999999999999,2.512,0.000,0.000
6.09999999999999,2.512,0.000,0.000
6.19999999999999,2.512,0.000,0.000
6.29999999999999,2.512,0.000,0.000
6.39999999999999,2.512,0.000,0.001
6.49999999999999,2.503,0.001,0.001
6.59999999999999,2.512,0.001,0.002
6.69999999999999,2.512,0.002,0.003
6.79999999999999,2.512,0.002,0.004
6.89999999999999,2.512,0.003,0.005
6.99999999999999,2.512,0.004,0.007
7.09999999999999,2.512,0.005,0.008
7.19999999999999,2.512,0.006,0.010
7.29999999999999,2.512,0.007,0.012
7.39999999999999,2.512,0.008,0.015
7.49999999999999,2.512,0.010,0.017
7.59999999999999,2.512,0.011,0.020
7.69999999999999,2.512,0.013,0.023
7.79999999999999,2.512,0.015,0.026
7.89999999999999,2.503,0.016,0.029
7.99999999999999,2.512,0.018,0.032
8.09999999999999,2.512,0.020,0.036
8.19999999999999,2.512,0.022,0.039
8.29999999999999,2.512,0.025,0.043
8.39999999999999,2.512,0.027,0.047
8.49999999999999,2.512,0.029,0.051
8.59999999999999,2.512,0.032,0.056
8.69999999999999,2.503,0.034,0.060
8.79999999999998,2.512,0.037,0.065
8.89999999999998,2.512,0.040,0.070
8.99999999999998,2.503,0.042,0.075
9.09999999999998,2.503,0.045,0.079
9.19999999999998,2.512,0.048,0.084
9.29999999999998,2.512,0.051,0.090
9.39999999999998,2.503,0.054,0.095
9.49999999999998,2.512,0.057,0.100
9.59999999999998,2.512,0.060,0.106
9.69999999999998,2.512,0.063,0.111
9.79999999999998,2.512,0.067,0.117
9.89999999999998,2.512,0.070,0.123
9.99999999999998,2.512,0.074,0.129
10.1,2.512,0.077,0.136
10.2,2.512,0.081,0.142
10.3,2.512,0.085,0.149
10.4,2.512,0.089,0.156
10.5,2.512,0.093,0.163
10.6,2.503,0.097,0.170
10.7,2.503,0.101,0.177
10.8,2.512,0.105,0.184
10.9,2.512,0.109,0.191
11,2.512,0.113,0.199
11.1,2.512,0.118,0.207
