Time(s),Input(v),Output(v),Output(m)
0,2.493,0,0
0.1,5,0,0
0.2,5,0.024,0.043
0.3,5,0.073,0.127
0.4,5,0.145,0.254
0.5,5,0.241,0.423
0.6,5,0.361,0.633
0.7,5,0.504,0.884
0.8,5,0.67,1.176
0.9,5,0.86,1.509
1,5,1.073,1.882
1.1,5,1.308,2.294
1.2,5,1.566,2.747
1.3,5,1.846,3.239
1.4,5,2.149,3.77
1.5,5,2.474,4.34
1.6,5,2.821,4.949
1.7,5,3.19,5.596
1.8,5,3.58,6.281
1.9,5,3.992,7.004
2,5,4.426,7.765
2.1,5,4.881,8.562
2.2,5,5.356,9.397
2.3,5,5.853,10.269
2.4,5,6.371,11.177
2.5,5,6.909,12.121
2.6,5,7.468,13.102
2.7,5,8.047,14.118
2.8,5,8.647,15.17
2.9,5,9.266,16.257
3,5,9.906,17.379
3.1,5,10,18.535
3.2,5,10,19.727
3.3,5,10,20.952
3.4,5,10,22.212
3.5,5,10,23.505
3.6,5,10,24.832
3.7,5,10,26.193
3.8,5,10,27.586
3.9,5,10,29.013
4,5,10,30.472
4.1,5,10,31.963
4.2,5,10,33.487
4.3,5,10,35.043
4.4,5,10,36.63
4.5,5,10,38.249
4.6,5,10,39.899
4.7,5,10,41.581
4.8,5,10,43.293
4.9,5,10,45.036
5,5,10,46.809
5.1,5,10,48.613
5.2,5,10,50.446
5.3,5,10,52.31
5.4,5,10,54.203
5.5,5,10,56.125
5.6,5,10,58.077
5.7,5,10,60.058
5.8,5,10,62.067
5.9,5,10,64.105
6,5,10,66.171
6.1,5,10,68.266
6.2,5,10,70.389
6.3,5,10,72.539
6.4,5,10,74.717
6.5,5,10,76.923
6.6,5,10,79.155
6.7,5,10,81.415
6.8,5,10,83.701
6.9,5,10,86.015
7,5,10,88.354
7.1,5,10,90.72
7.2,5,10,93.112
7.3,5,10,95.53
7.4,5,10,97.974
7.5,5,10,100.444
7.6,5,10,102.938
7.7,5,10,105.458
7.8,5,10,108.003
7.9,5,10,110.573
8,5,10,113.168
8.1,5,10,115.787
8.2,5,10,118.43
8.3,5,10,121.098
8.4,5,10,123.789
8.5,5,10,126.504
8.6,5,10,129.244
8.7,5,10,132.006
8.8,5,10,134.792
8.9,5,10,137.601
9,5,10,140.433
9.1,5,10,143.288
9.2,5,10,146.166
9.3,5,10,149.066
9.4,5,10,151.989
9.5,5,10,154.934
9.6,5,10,157.901
9.7,5,10,160.889
9.8,5,10,163.9
9.9,5,10,166.932
10,5,10,169.986
10.1,5,10,173.061
10.2,5,10,176.157
10.3,5,10,179.274
10.4,5,10,182.412
10.5,5,10,185.571
10.6,5,10,188.75
10.7,5,10,191.95
10.8,5,10,195.17
10.9,5,10,198.411
11,5,10,201.671
11.1,5,10,204.951
11.2,5,10,208.251
11.3,5,10,211.57
11.4,5,10,214.909
11.5,5,10,218.268
11.6,5,10,221.645
11.7,5,10,225.042
11.8,5,10,228.457
11.9,5,10,231.891
12,5,10,235.344
12.1,5,10,238.816
12.2,5,10,242.306
12.3,5,10,245.814
12.4,5,10,249.34
12.5,5,10,252.884
12.6,5,10,256.447
12.7,5,10,260.027
12.8,5,10,263.624
12.9,5,10,267.239
13,5,10,270.872
13.1,5,10,274.522
13.2,5,10,278.189
13.3,5,10,281.873
13.4,5,10,285.574
13.5,5,10,289.291
13.6,5,10,293.026
13.7,5,10,296.777
13.8,5,10,300.544
13.9,5,10,304.328
14,5,10,308.128
14.1,5,10,311.944
14.2,5,10,315.777
14.3,5,10,319.625
14.4,5,10,323.488
14.5,5,10,327.368
14.6,5,10,331.263
14.7,5,10,335.174
14.8,5,10,339.099
14.9,5,10,343.041
15,5,10,346.997
15.1,5,10,350.968
15.2,5,10,354.954
15.3,5,10,358.955
15.4,5,10,362.971
15.5,5,10,367.001
15.6,5,10,371.046
15.7,5,10,375.105
15.8,5,10,379.179
15.9,5,10,383.267
16,5,10,387.369
16.1,5,10,391.484
16.2,5,10,395.614
16.3,5,10,399.758
16.4,5,10,403.915
16.5,5,10,408.086
16.6,5,10,412.271
16.7,5,10,416.469
16.8,5,10,420.68
16.9,5,10,424.904
17,5,10,429.142
17.1,5,10,433.393
17.2,5,10,437.656
17.3,5,10,441.933
17.4,5,10,446.222
17.5,5,10,450.524
17.6,5,10,454.839
17.7,5,10,459.166
17.8,5,10,463.506
17.9,5,10,467.858
18,5,10,472.222
18.1,5,10,476.599
18.2,5,10,480.987
18.3,5,10,485.388
18.4,5,10,489.801
18.5,5,10,494.225
18.6,5,10,498.661
18.7,5,10,503.109
18.8,5,10,507.568
18.9,5,10,512.039
19,5,10,516.522
19.1,5,10,521.015
19.2,5,10,525.52
19.3,5,10,530.037
19.4,5,10,534.564
19.5,5,10,539.102
19.6,5,10,543.652
19.7,5,10,548.212
19.8,5,10,552.783
19.9,5,10,557.365
20,5,10,561.957
20.1,5,10,566.56
20.2,5,10,571.174
20.3,5,10,575.798
20.4,5,10,580.432
20.5,5,10,585.077
20.6,5,10,589.732
20.7,5,10,594.397
20.8,5,10,599.072
20.9,5,10,603.757
21,5,10,608.453
21.1,5,10,613.158
21.2,5,10,617.872
21.3,5,10,622.597
21.4,5,10,627.331
21.5,5,10,632.075
21.6,5,10,636.828
21.7,5,10,641.591
21.8,5,10,646.364
21.9,5,10,651.145
22,5,10,655.936
22.1,5,10,660.736
22.2,5,10,665.545
22.3,5,10,670.364
22.4,5,10,675.191
22.5,5,10,680.027
22.6,5,10,684.872
22.7,5,10,689.726
22.8,5,10,694.589
22.9,5,10,699.461
23,5,10,704.341
23.1,5,10,709.23
23.2,5,10,714.127
23.3,5,10,719.032
23.4,5,10,723.947
23.5,5,10,728.869
23.6,5,10,733.8
23.7,5,10,738.739
23.8,5,10,743.686
23.9,5,10,748.641
24,5,10,753.605
24.1,5,10,758.576
24.2,5,10,763.555
24.3,5,10,768.543
24.4,5,10,773.538
24.5,5,10,778.541
24.6,5,10,783.551
24.7,5,10,788.569
24.8,5,10,793.595
24.9,5,10,798.629
25,5,10,803.67
25.1,5,10,808.718
25.2,5,10,813.774
25.3,5,10,818.837
25.4,5,10,823.908
25.5,5,10,828.986
25.6,5,10,834.071
25.7,5,10,839.163
25.8,5,10,844.262
25.9,5,10,849.368
26,5,10,854.482
26.1,5,10,859.602
26.2,5,10,864.729
26.3,5,10,869.863
26.4,5,10,875.004
26.5,5,10,880.152
26.6,5,10,885.306
26.7,5,10,890.468
26.8,5,10,895.635
26.9,5,10,900.81
27,5,10,905.99
27.1,5,10,911.178
27.2,5,10,916.371
27.3,5,10,921.572
27.4,5,10,926.778
27.5,5,10,931.991
27.6,5,10,937.21
27.7,5,10,942.435
27.8,5,10,947.667
27.9,5,10,952.905
28,5,10,958.148
28.1,5,10,963.398
28.2,5,10,968.654
28.3,5,10,973.916
28.4,5,10,979.184
28.5,5,10,984.457
28.6,5,10,989.737
28.7,5,10,995.022
28.8,5,10,1000.313
28.9,5,10,1005.61
29,5,10,1010.912
29.1,5,10,1016.22
29.2,5,10,1021.534
29.3,5,10,1026.853
29.4,5,10,1032.178
29.5,5,10,1037.508
29.6,5,10,1042.844
29.7,5,10,1048.185
29.8,5,10,1053.532
29.9,5,10,1058.883
30,5,10,1064.241
30.1,5,10,1069.603
30.2,5,10,1074.971
30.3,5,10,1080.343
30.4,5,10,1085.721
30.5,5,10,1091.105
30.6,5,10,1096.493
30.7,5,10,1101.886
30.8,5,10,1107.284
30.9,5,10,1112.687
31,5,10,1118.096
31.1,5,10,1123.509
31.2,5,10,1128.927
31.3,5,10,1134.349
31.4,5,10,1139.777
31.5,5,10,1145.209
31.6,5,10,1150.647
31.7,5,10,1156.088
31.8,5,10,1161.535
31.9,5,10,1166.986
32,5,10,1172.442
32.1,5,10,1177.902
32.2,5,10,1183.367
32.3,5,10,1188.836
32.4,5,10,1194.31
32.5,5,10,1199.788
32.6,5,10,1205.271
32.7,5,10,1210.758
32.8,5,10,1216.25
32.9,5,10,1221.745
33,5,10,1227.246
33.1,5,10,1232.75
33.2,5,10,1238.259
33.3,5,10,1243.771
33.4,5,10,1249.288
33.5,5,10,1254.809
33.6,5,10,1260.335
33.7,5,10,1265.864
33.8,5,10,1271.398
33.9,5,10,1276.935
34,5,10,1282.476
34.1,5,10,1288.022
34.2,5,10,1293.571
34.3,5,10,1299.125
34.4,5,10,1304.682
34.5,5,10,1310.243
34.6,5,10,1315.808
34.7,5,10,1321.377
34.8,5,10,1326.949
34.9,5,10,1332.525
35,5,10,1338.105
35.1,5,10,1343.689
35.2,5,10,1349.277
35.3,5,10,1354.868
35.4,5,10,1360.462
35.5,5,10,1366.061
35.6,5,10,1371.663
35.7,5,10,1377.268
35.8,5,10,1382.877
35.9,5,10,1388.49
36,5,10,1394.106
36.1,5,10,1399.725
36.2,5,10,1405.348
36.3,5,10,1410.974
36.4,5,10,1416.604
36.5,5,10,1422.237
36.6,5,10,1427.873
36.7,5,10,1433.513
36.8,5,10,1439.156
36.9,5,10,1444.802
37,5,10,1450.452
37.1,5,10,1456.105
37.2,5,10,1461.761
37.3,5,10,1467.42
37.4,5,10,1473.082
37.5,5,10,1478.747
37.6,5,10,1484.416
37.7,5,10,1490.088
37.8,5,10,1495.762
37.9,5,10,1501.44
38,5,10,1507.121
38.1,5,10,1512.805
38.2,5,10,1518.491
38.3,5,10,1524.181
38.4,5,10,1529.874
38.5,5,10,1535.57
38.6,5,10,1541.268
38.7,5,10,1546.969
38.8,5,10,1552.674
38.9,5,10,1558.381
39,5,10,1564.091
39.1,5,10,1569.804
39.2,5,10,1575.519
39.3,5,10,1581.237
39.4,5,10,1586.959
39.5,5,10,1592.682
39.6,5,10,1598.409
39.7,5,10,1604.138
39.8,5,10,1609.87
39.9,5,10,1615.604
40,5,10,1621.341
40.1,5,10,1627.081
40.2,5,10,1632.824
40.3,5,10,1638.569
40.4,5,10,1644.316
40.5,5,10,1650.066
40.6,5,10,1655.819
40.7,5,10,1661.574
40.8,5,10,1667.331
40.9,5,10,1673.091
41,5,10,1678.854
41.1,5,10,1684.619
41.2,5,10,1690.386
41.3,5,10,1696.156
41.4,5,10,1701.928
41.5,5,10,1707.703
41.6,5,10,1713.479
41.7,5,10,1719.259
